,01.Well Identifier,02.Well Core Analysis Number (Well Core Analysis Line),03.Well Core Analysis Core Number,04.Well Line Interval Depth,05.Well Line Code,06.Well Line Interval Length,07.Well Line Porosity,08.Well Line KMAX,09.Well Line KVERT,10.Well Line K90,11.Well Line Grain Density,12.Well Line Pore Volume Oil,13.Well Line Pore Volume Water,14.Well Line Bulk Density,15.Well Line Lithology
48,00/01-06-081-09W5/0,73894,1,1690.27,SS,0.21,0.144,106.0,,,2690.0,0.1,0.171,2300.0,SS VF-CGR ARG CALC
49,00/01-06-081-09W5/0,73894,1,1690.48,SS,0.12,0.115,58.8,,,2700.0,0.17,0.319,2390.0,SS VF-CGR ARG CALC
50,00/01-06-081-09W5/0,73894,1,1689.87,SS,0.12,0.067,2.54,,,2700.0,0.045,0.041,2520.0,SS F-VCGR ARG CALC
51,00/01-06-081-09W5/0,73894,1,1690.69,SS,0.11,0.066,11.3,,,2710.0,0.074,0.061,2530.0,SS F-CGR ARG CALC
52,00/01-06-081-09W5/0,73894,1,1690.8,SS,0.14,0.058,0.7,,,2700.0,0.09,0.074,2540.0,SS F-CGR ARG CALC
53,00/01-06-081-09W5/0,73894,1,1689.99,SS,0.07,0.067,19.4,,,2720.0,0.059,0.169,2540.0,SS F-VCGR ARG CALC
54,00/01-06-081-09W5/0,73894,1,1690.06,SS,0.1,0.04,0.95,,,2680.0,0.001,0.251,2580.0,SS F-VCGR ARG CALC
55,00/01-06-081-09W5/0,73894,1,1690.16,SS,0.11,0.039,0.63,,,2710.0,0.165,0.087,2600.0,SS F-VCGR ARG CALC
56,00/01-06-081-09W5/0,73894,1,1691.49,SS,0.6,0.022,0.17,,,2720.0,0.0,0.272,2660.0,SS F-CGR DOL
57,00/05-34-080-09W5/0,28864,2,1692.0,DE,7.02,,,,,,,,,NOT ANALYSED - SHALE
58,00/05-34-080-09W5/0,28864,2,1700.01,DE,0.68,,,,,,,,,NOT ANALYSED - SHALE
59,00/05-34-080-09W5/0,28864,2,1700.99,DE,0.22,,,,,,,,,NOT ANALYSED - SHALE
60,00/05-34-080-09W5/0,28864,2,1702.21,DE,0.16,,,,,,,,,NOT ANALYSED - SHALE
61,00/05-34-080-09W5/0,28864,2,1704.4,DE,1.3,,,,,,,,,NOT ANALYSED - SHALE
62,00/05-34-080-09W5/0,28864,2,1702.67,FD,0.25,0.205,149.0,184.0,138.0,2600.0,0.049,0.766,,SS  M   P/S V/F
63,00/05-34-080-09W5/0,28864,2,1703.0,FD,0.14,0.182,124.0,82.8,91.3,2620.0,0.106,0.452,,SS  VF
64,00/05-34-080-09W5/0,28864,2,1703.36,FD,0.19,0.157,178.0,241.0,174.0,2620.0,0.136,0.583,,SS  M   P/S V/F
65,00/05-34-080-09W5/0,28864,2,1701.82,FD,0.13,0.062,0.59,0.25,0.39,2630.0,0.0,0.429,,SS  VF
66,00/05-34-080-09W5/0,28864,2,1703.14,FD,0.22,0.094,2.06,0.07,1.03,2630.0,0.041,0.682,,SS  VF  ARGL
67,00/05-34-080-09W5/0,28864,2,1703.64,FD,0.19,0.147,140.0,162.0,117.0,2630.0,0.132,0.425,,SS  M   P/S V/F
68,00/05-34-080-09W5/0,28864,2,1700.69,FD,0.23,0.094,2.78,,,2640.0,0.0,0.853,,SS  VF  ARGL
69,00/05-34-080-09W5/0,28864,2,1701.54,FD,0.21,0.063,1.24,0.47,0.9,2640.0,0.0,0.195,,SS  M   P/S
70,00/05-34-080-09W5/0,28864,2,1701.95,FD,0.26,0.063,1.72,0.2,1.1,2640.0,0.0,0.409,,SS  M   P/S
71,00/05-34-080-09W5/0,28864,2,1702.47,FD,0.2,0.087,2.71,0.46,2.31,2640.0,0.095,0.384,,SS  VF
72,00/05-34-080-09W5/0,28864,2,1703.83,FD,0.18,0.117,9.65,0.31,4.82,2640.0,0.0,0.865,,SS  VF  ARGL
73,00/05-34-080-09W5/0,28864,2,1704.01,FD,0.26,0.12,26.0,2.8,24.6,2650.0,0.091,0.395,,SS  M   P/S ARGL
74,00/05-34-080-09W5/0,28864,2,1699.82,FD,0.19,0.058,0.74,0.14,0.69,2660.0,0.0,0.668,,SS  M   P/S ARGL
75,00/05-34-080-09W5/0,28864,2,1701.3,FD,0.24,0.076,7.22,1.89,7.05,2660.0,,0.117,,SS  M   P/S ARGL
76,00/05-34-080-09W5/0,28864,2,1699.54,FD,0.2,0.022,0.21,0.03,0.15,2680.0,,0.425,,SS  M   P/S
77,00/05-34-080-09W5/0,28864,2,1699.31,FD,0.23,0.032,0.14,0.03,0.12,2690.0,0.0,0.515,,SS  VF
78,00/05-34-080-09W5/0,28864,2,1699.09,FD,0.22,0.042,0.09,0.02,0.04,2700.0,0.0,0.596,,SS  VF
79,00/05-34-080-09W5/0,28864,2,1701.21,SS,0.09,0.11,1.66,,,2630.0,0.0,0.696,,SS  VF
80,00/05-34-080-09W5/0,28864,2,1702.92,SS,0.08,0.203,274.0,,,2630.0,0.126,0.488,,SS  M   P/S
81,00/05-34-080-09W5/0,28864,2,1699.02,SS,0.07,0.135,2.65,,,2640.0,0.0,0.793,,SS  VF
82,00/05-34-080-09W5/0,28864,2,1700.92,SS,0.07,0.061,1.22,,,2640.0,0.0,0.836,,SS  VF
83,00/05-34-080-09W5/0,28864,2,1701.75,SS,0.07,0.053,0.45,,,2640.0,,0.651,,SS  VF
84,00/05-34-080-09W5/0,28864,2,1702.37,SS,0.1,0.092,1.69,,,2650.0,0.0,0.818,,SS  VF
85,00/05-34-080-09W5/0,28864,2,1699.74,SS,0.08,0.039,0.41,,,2660.0,0.0,0.62,,SS  M   P/S
86,00/05-34-080-09W5/0,28864,2,1703.55,SS,0.09,0.143,153.0,,,2660.0,0.044,0.475,,SS  VF
87,00/05-34-080-09W5/0,28864,2,1704.27,SS,0.13,0.122,88.0,,,2660.0,0.097,0.599,,SS  VF
88,00/05-34-080-09W5/0,28864,3,1741.0,DE,5.6,,,,,,,,,NOT ANALYSED - SHALE
89,00/05-34-080-09W5/0,28864,3,1746.6,LC,0.4,,,,,,,,,LOST CORE
90,00/04-09-079-10W5/0,50434,1,1765.4,DE,2.91,,,,,,,,,ls
91,00/04-09-079-10W5/0,50434,1,1770.53,DE,12.37,,,,,,,,,ls
92,00/04-09-079-10W5/0,50434,1,1769.52,FD,0.11,0.041,0.08,,,2710.0,0.227,0.284,,ls i ppv
93,00/04-09-079-10W5/0,50434,1,1782.9,LC,0.65,,,,,,,,,Lost core
94,00/04-09-079-10W5/0,50434,1,1768.31,FD,0.18,0.08,1.07,0.21,0.97,2710.0,0.221,0.136,2500.0,ls i ppv
95,00/04-09-079-10W5/0,50434,1,1769.99,FD,0.29,0.064,0.27,0.0,0.22,2700.0,0.198,0.248,2530.0,ls i ppv foss
96,00/04-09-079-10W5/0,50434,1,1768.49,FD,0.19,0.078,0.37,0.0,0.23,2700.0,0.079,0.199,2540.0,ls i ppv sty
97,00/04-09-079-10W5/0,50434,1,1768.68,FD,0.23,0.055,0.28,0.0,0.1,2700.0,0.161,0.313,2550.0,ls i sty
98,00/04-09-079-10W5/0,50434,1,1769.63,FD,0.36,0.048,0.04,0.0,0.03,2700.0,0.201,0.335,2570.0,ls i
99,00/04-09-079-10W5/0,50434,1,1768.91,FD,0.61,0.031,4.04,0.0,0.55,2700.0,0.186,0.389,2620.0,ls i foss hfrac
100,00/04-09-079-10W5/0,50434,1,1770.28,FD,0.25,0.024,0.0,0.0,0.0,2710.0,0.0001,0.466,2640.0,ls i sv foss
101,00/04-28-081-08W5/0,20105,1,1637.39,DE,18.28,,,,,,,,,NOT ANALYSED - DENSE
102,00/04-28-081-08W5/0,20105,2,1655.67,DE,5.95,,,,,,,,,NOT ANALYSED - SHALE
103,00/04-28-081-08W5/0,20105,2,1661.62,DE,0.15,,,,,,,,,NOT ANALYSED - DENSE
104,00/04-28-081-08W5/0,20105,3,1663.14,DE,5.88,,,,,,,,,NOT ANALYSED - SHALE
105,00/04-28-081-08W5/0,20105,3,1670.24,DE,0.67,,,,,,,,,NOT ANALYSED - SHALE
106,00/04-28-081-08W5/0,20105,3,1671.52,DE,1.83,,,,,,,,,NOT ANALYSED - SHALE
107,00/04-28-081-08W5/0,20105,3,1661.77,FD,0.37,0.055,2.59,0.55,2.18,,0.0,0.51,,SS  M
108,00/04-28-081-08W5/0,20105,3,1662.14,FD,0.27,0.054,6.18,0.72,5.78,,0.0,0.999,,SS  M
109,00/04-28-081-08W5/0,20105,3,1662.41,FD,0.12,0.061,3.22,0.66,2.79,,0.0,0.625,,SS  M
110,00/04-28-081-08W5/0,20105,3,1662.53,FD,0.37,0.05,12.2,0.01,9.59,,0.0,0.36,,SS  M
111,00/04-28-081-08W5/0,20105,3,1662.9,FD,0.24,0.141,0.89,0.01,0.46,,0.0,0.795,,SS  F   ARGL
112,00/04-28-081-08W5/0,20105,3,1669.02,FD,0.25,0.12,6.4,1.03,6.4,,0.0,0.58,,SS  F
113,00/04-28-081-08W5/0,20105,3,1669.27,FD,0.27,0.116,4.48,1.46,3.83,,0.0,0.605,,SS  M   P/S
114,00/04-28-081-08W5/0,20105,3,1669.54,FD,0.31,0.106,5.34,2.15,5.34,,0.0,0.755,,SS  M   P/S
115,00/04-28-081-08W5/0,20105,3,1669.85,FD,0.18,0.094,8.48,3.27,8.03,,0.0,0.53,,SS  M
116,00/04-28-081-08W5/0,20105,3,1670.03,FD,0.21,0.076,5.57,0.24,4.9,,0.0,0.37,,SS  M   P/S
117,00/04-28-081-08W5/0,20105,3,1670.91,FD,0.28,0.043,0.01,0.01,0.01,,0.0,0.93,,SS  M   P/S SLT
118,00/04-28-081-08W5/0,20105,3,1671.19,FD,0.33,0.097,0.01,0.01,0.01,,0.0,0.999,,SS  M   P/S SLT
119,00/04-28-081-08W5/0,20105,4,1741.02,DE,5.67,,,,,,,,,NOT ANALYSED - SHALE
120,00/04-28-081-08W5/0,20105,4,1747.17,DE,0.31,,,,,,,,,NOT ANALYSED - SHALE
121,00/04-28-081-08W5/0,20105,4,1747.94,DE,0.73,,,,,,,,,NOT ANALYSED - SHALE
122,00/04-28-081-08W5/0,20105,4,1749.0,DE,0.55,,,,,,,,,NOT ANALYSED - SHALE
123,00/04-28-081-08W5/0,20105,4,1746.69,FD,0.48,0.048,0.09,0.15,0.06,,0.0,0.999,,SS  F   SLT
124,00/04-28-081-08W5/0,20105,4,1747.48,FD,0.46,0.06,1.45,0.31,1.45,,0.0,0.999,,SS  F   SLT
125,00/04-28-081-08W5/0,20105,4,1748.67,FD,0.33,0.054,1.31,0.75,1.27,,0.0,0.778,,SS  M   P/S SH
126,00/06-14-080-09W5/0,71951,1,1732.0,LC,3.0,,,,,,,,,LOST CORE
127,00/06-14-080-09W5/0,71951,1,1720.0,,1.56,,,,,,,,,DOL/MUDSTONE/SH
128,00/06-14-080-09W5/0,71951,1,1723.1,,2.28,,,,,,,,,MUDSTONE/SS
129,00/06-14-080-09W5/0,71951,1,1725.66,,0.82,,,,,,,,,MUDSTONE/SS
130,00/06-14-080-09W5/0,71951,1,1726.7,,1.71,,,,,,,,,MUDSTONE
131,00/06-14-080-09W5/0,71951,1,1729.88,,0.54,,,,,,,,,SS/SLT ST/MUDSTONE
132,00/06-14-080-09W5/0,71951,1,1730.74,,0.52,,,,,,,,,SS/SLT ST/MUDSTONE
133,00/06-14-080-09W5/0,71951,1,1731.38,,0.62,,,,,,,,,SS/SLT ST/MUDSTONE
134,00/06-14-080-09W5/0,71951,1,1729.81,SS,0.07,0.241,48.6,,,2650.0,0.029,0.358,2010.0,SS F-MGR ARG CALC
135,00/06-14-080-09W5/0,71951,1,1729.59,FD,0.22,0.166,401.0,1740.0,218.0,2650.0,,,2210.0,SS F-MGR ARG CALC VFRAC
136,00/06-14-080-09W5/0,71951,1,1721.79,SS,1.15,0.132,621.0,,,2640.0,0.095,0.142,2290.0,SS F-CGR ARG SL CALC
137,00/06-14-080-09W5/0,71951,1,1731.26,SS,0.12,0.116,1.68,,,2650.0,0.04,0.541,2340.0,SS VF-CGR V ARG LAM CALC
138,00/06-14-080-09W5/0,71951,1,1721.69,SS,0.1,0.096,179.0,,,2660.0,0.154,0.129,2400.0,SS F-CGR ARG SL CALC
139,00/06-14-080-09W5/0,71951,1,1728.92,SS,0.13,0.077,3.01,,,2650.0,0.092,0.056,2440.0,SS F-MGR CALC
140,00/06-14-080-09W5/0,71951,1,1721.56,FD,0.13,0.08,158.0,20.1,99.6,2660.0,,,2450.0,SS F-CGR ARG SL CALC
141,00/06-14-080-09W5/0,71951,1,1722.94,SS,0.16,0.066,59.3,,,2680.0,0.157,0.105,2500.0,SS F-CGR CALC
142,00/06-14-080-09W5/0,71951,1,1729.05,FD,0.23,0.051,5.77,0.43,2.66,2650.0,,,2520.0,SS F-CGR ARG LAM CALC
143,00/06-14-080-09W5/0,71951,1,1729.42,FD,0.17,0.052,3.9,0.31,1.5,2660.0,,,2520.0,SS F-CGR CALC CMT LAM
144,00/06-14-080-09W5/0,71951,1,1728.6,SS,0.09,0.046,0.14,,,2640.0,0.106,0.152,2520.0,SS F-CGR ARG CALC
145,00/06-14-080-09W5/0,71951,1,1730.42,SS,0.15,0.041,0.81,,,2650.0,0.107,0.187,2540.0,SS F-MGR CALC W CMT
146,00/06-14-080-09W5/0,71951,1,1729.28,SS,0.14,0.05,0.3,,,2670.0,0.073,0.156,2540.0,SS F-CGR CALC CMT LAM
147,00/06-14-080-09W5/0,71951,1,1728.69,FD,0.23,0.037,0.6,0.12,0.59,2650.0,,,2550.0,SS F-CGR ARG CALC
148,00/06-14-080-09W5/0,71951,1,1725.38,SS,0.09,0.037,0.95,,,2650.0,0.027,0.042,2550.0,SS F-CGR PBLY SL CALC
149,00/06-14-080-09W5/0,71951,1,1726.48,SS,0.22,0.027,0.04,,,2640.0,0.078,0.12,2570.0,SS F-CGR CALC
150,00/06-14-080-09W5/0,71951,1,1728.41,FD,0.19,0.015,0.24,0.07,0.21,2640.0,,,2600.0,SS F-CGR CALC
151,00/06-14-080-09W5/0,71951,1,1725.47,FD,0.19,0.011,0.41,0.07,0.4,2650.0,,,2620.0,SS F-CGR PBLY SL CALC
152,00/06-14-080-09W5/0,71951,1,1730.57,FD,0.17,0.015,0.27,0.1,0.23,2660.0,,,2620.0,SS F-CGR CALC CMT
153,00/10-27-080-09W5/0,21950,1,1687.68,DE,7.25,,,,,,,,,NOT ANALYSED - ANHYDRITE
154,00/10-27-080-09W5/0,21950,1,1694.93,DE,3.29,,,,,,,,,NOT ANALYSED - SHALE
155,00/10-27-080-09W5/0,21950,1,1698.68,DE,3.02,,,,,,,,,NOT ANALYSED - ANHYDRITE
156,00/10-27-080-09W5/0,21950,1,1698.38,FD,0.3,0.02,0.44,,0.12,2660.0,,,,SS  F   SLT CALC
157,00/10-27-080-09W5/0,21950,1,1698.22,SS,0.16,0.138,2.21,0.61,1.83,,,,,SS  F   ARGL
158,00/06-06-081-08W5/0,28827,1,1745.0,DE,1.68,,,,,,,,,NOT ANALYSED - SHALE
159,00/06-06-081-08W5/0,28827,1,1746.78,DE,0.13,,,,,,,,,NOT ANALYSED - SHALE
160,00/06-06-081-08W5/0,28827,1,1747.31,DE,0.13,,,,,,,,,NOT ANALYSED - SHALE
161,00/06-06-081-08W5/0,28827,1,1747.76,DE,0.5,,,,,,,,,NOT ANALYSED - SHALE
162,00/06-06-081-08W5/0,28827,1,1748.77,DE,0.2,,,,,,,,,NOT ANALYSED - SHALE
163,00/06-06-081-08W5/0,28827,1,1749.25,DE,1.41,,,,,,,,,NOT ANALYSED - SHALE
164,00/06-06-081-08W5/0,28827,1,1751.55,DE,0.68,,,,,,,,,NOT ANALYSED - SHALE
165,00/06-06-081-08W5/0,28827,1,1753.79,DE,1.51,,,,,,,,,NOT ANALYSED - SHALE
166,00/06-06-081-08W5/0,28827,1,1755.43,DE,2.57,,,,,,,,,NOT ANALYSED - SHALE
167,00/06-06-081-08W5/0,28827,1,1758.12,DE,0.08,,,,,,,,,NOT ANALYSED - SHALE
168,00/06-06-081-08W5/0,28827,1,1751.05,FD,0.24,0.18,1950.0,667.0,1650.0,2600.0,0.0,0.809,,SS  M   P/S CHT CALC
169,00/06-06-081-08W5/0,28827,1,1753.14,FD,0.24,0.138,88.5,4.2,86.3,2600.0,,0.776,,SS  M   P/S
170,00/06-06-081-08W5/0,28827,1,1752.96,FD,0.18,0.138,276.0,,,2610.0,0.0,0.83,,SS  M   P/S
171,00/06-06-081-08W5/0,28827,1,1753.38,FD,0.31,0.174,210.0,163.0,198.0,2610.0,0.0,0.77,,SS  M   P/S CHT
172,00/06-06-081-08W5/0,28827,1,1748.49,FD,0.15,0.16,209.0,89.3,190.0,2620.0,0.0,0.694,,SS  VF  CALC
173,00/06-06-081-08W5/0,28827,1,1748.97,FD,0.21,0.168,96.5,2.41,93.9,2620.0,0.0,0.563,,SS  VF  CALCSH
174,00/06-06-081-08W5/0,28827,1,1752.23,FD,0.2,0.142,146.0,88.7,137.0,2620.0,0.0,0.634,,SS  M   P/S CHT CALC
175,00/06-06-081-08W5/0,28827,1,1752.55,FD,0.22,0.173,627.0,181.0,602.0,2620.0,0.0,0.742,,SS  M   P/S CHT CALC
176,00/06-06-081-08W5/0,28827,1,1750.89,FD,0.16,0.136,518.0,130.0,295.0,2630.0,0.0,0.56,,SS  M   P/S CHT CALC
177,00/06-06-081-08W5/0,28827,1,1751.29,FD,0.19,0.156,132.0,50.3,110.0,2630.0,0.0,0.771,,SS  M   P/S CHT CALC
178,00/06-06-081-08W5/0,28827,1,1750.66,FD,0.23,0.083,20.1,5.59,12.8,2640.0,0.0,0.536,,SS  M   P/S CHT CALC
179,00/06-06-081-08W5/0,28827,1,1755.3,FD,0.13,0.026,0.02,0.01,0.01,2640.0,,0.149,,SS  VF  CALC
180,00/06-06-081-08W5/0,28827,1,1748.26,FD,0.23,0.151,85.9,0.04,75.3,2650.0,0.0,0.809,,SS  VF  CALC
181,00/06-06-081-08W5/0,28827,1,1747.44,FD,0.32,0.025,0.06,0.03,0.06,2660.0,0.0,0.646,,SS  VF  CALC
182,00/06-06-081-08W5/0,28827,1,1746.91,FD,0.17,0.028,0.06,0.05,0.06,2680.0,,0.619,,SS  VF  CALC
183,00/06-06-081-08W5/0,28827,1,1747.08,FD,0.23,0.016,0.03,0.01,0.03,2680.0,,0.655,,SS  VF  CALC
184,00/06-06-081-08W5/0,28827,1,1758.2,LC,1.3,,,,,,,,,LOST CORE
185,00/06-06-081-08W5/0,28827,1,1752.77,SS,0.19,0.227,1470.0,,,2630.0,0.0,0.758,,SS  M   P/S
186,00/06-06-081-08W5/0,28827,1,1748.64,SS,0.13,0.156,0.19,,,2640.0,0.0,0.625,,SS  VF  ARGL
187,00/06-06-081-08W5/0,28827,1,1749.18,SS,0.07,0.092,1.83,,,2640.0,0.0,0.562,,SS  VF  ARGL
188,00/06-06-081-08W5/0,28827,1,1752.43,SS,0.12,0.175,556.0,,,2640.0,0.0,0.608,,SS  M   P/S
189,00/06-06-081-08W5/0,28827,1,1753.69,SS,0.1,0.163,661.0,,,2640.0,,0.662,,SS  M   P/S
190,00/06-06-081-08W5/0,28827,1,1751.48,SS,0.07,0.082,39.1,,,2650.0,0.0,0.547,,SS  VF
191,00/06-06-081-08W5/0,28827,1,1746.68,SS,0.1,0.02,0.01,,,2680.0,0.0,0.943,,SS  VF  CALC
192,00/06-06-081-08W5/0,28827,1,1758.0,SS,0.12,0.029,0.01,,,2750.0,,0.716,,SS  VF  CALCARGLSID
193,00/03-15-080-09W5/0,71205,1,1733.35,LC,1.65,,,,,,,,,LOST CORE
194,00/03-15-080-09W5/0,71205,1,1717.0,,0.98,,,,,,,,,SH/MUDSTONE CALC
195,00/03-15-080-09W5/0,71205,1,1718.74,,1.06,,,,,,,,,SH/MUDSTONE
196,00/03-15-080-09W5/0,71205,1,1720.8,,0.28,,,,,,,,,SS SHY
197,00/03-15-080-09W5/0,71205,1,1721.83,,11.52,,,,,,,,,SH/ANH
198,00/03-15-080-09W5/0,71205,1,1721.08,FD,0.15,0.216,494.0,382.0,467.0,2640.0,0.064,0.084,2070.0,SS F-CGR LAM ARG SLCALC FRI
199,00/03-15-080-09W5/0,71205,1,1720.35,FD,0.2,0.198,163.0,136.0,149.0,2640.0,0.087,0.149,2120.0,SS F-CGR ARG LAM
200,00/03-15-080-09W5/0,71205,1,1721.23,SS,0.08,0.198,653.0,,,2650.0,0.04,0.458,2120.0,SS F-CGR LAM ARG SLCALC FRI
201,00/03-15-080-09W5/0,71205,1,1720.55,SS,0.1,0.193,604.0,,,2640.0,0.069,0.407,2130.0,SS F-CGR ARG LAM FRI
202,00/03-15-080-09W5/0,71205,1,1721.31,FD,0.28,0.195,708.0,423.0,687.0,2660.0,0.049,0.113,2140.0,SS F-CGR LAM ARG SLCALC FRI
203,00/03-15-080-09W5/0,71205,1,1718.42,FD,0.2,0.182,32.1,17.6,31.3,2650.0,0.115,0.109,2170.0,SS F-CGR ARG LAM SLPYR SIL
204,00/03-15-080-09W5/0,71205,1,1719.8,SS,0.25,0.174,219.0,,,2620.0,0.074,0.206,2170.0,SS F-CGR ARG FRI LAM
205,00/03-15-080-09W5/0,71205,1,1720.65,FD,0.15,0.179,531.0,253.0,464.0,2660.0,0.058,0.095,2180.0,SS F-CGR ARG SLCALC
