,Formatted UWI,Gas Anal Doc Source,Gas Analysis Quality,Gas Sample Date,Gas Sample Point,Intrvl Base,Intrvl Top,Reserv Fluid Crit Pressure,Reserv Fluid Crit Temp,Reserv Gas Rel Dens,Sep Gas Liq Ratio,Sep Liq Molar Mass,Sep Liq Rel Dens
12,00/09-33-080-09W5/0,Fluid Analyses Microfiche,Unknown,3/16/1986 00:00:00,Drill Stem Test,1701.5,1693.0,4294.87,189.2,0.733,,,
13,00/09-33-080-09W5/0,Fluid Analyses Microfiche,Unknown,3/16/1986 00:00:00,Other,1701.5,1693.0,4457.79,252.4,0.925,,,
14,00/10-14-081-09W5/0,Fluid Analyses Microfiche,Fair,7/27/1977 00:00:00,Reservoir Fluid Other,1784.6,1747.4,4276.0,220.0,0.887,,,
15,00/10-14-081-09W5/0,Fluid Analyses Microfiche,Unknown,8/2/1977 00:00:00,Drill Stem Test,649.22,643.13,4357.17,242.0,0.971,,,
16,00/10-14-081-09W5/0,Fluid Analyses Microfiche,Unknown,8/12/1977 00:00:00,Other,1747.38,1747.38,4275.85,220.1,0.887,,,
17,00/03-15-080-09W5/0,Electronic,Unknown,7/22/1999 00:00:00,First Stage Separator,1721.5,1717.3,4459.0,217.0,0.771,,,
18,00/03-15-080-09W5/0,Fluid Analyses Microfiche,Unknown,11/6/1989 00:00:00,Other,1731.0,1715.0,4453.22,240.8,0.884,,,
19,00/03-15-080-09W5/0,Fluid Analyses Microfiche,Unknown,1/13/1990 00:00:00,Other,1721.5,1717.3,4411.94,207.3,0.75,,,
20,00/10-30-080-09W5/0,Fluid Analyses Microfiche,Unknown,1/14/1992 00:00:00,Other,1701.0,1691.0,4442.29,216.8,0.775,,,
21,00/10-30-080-09W5/0,Fluid Analyses Microfiche,Unknown,1/14/1992 00:00:00,Other,1701.0,1691.0,4455.27,211.9,0.743,,,
22,00/09-25-081-09W5/0,Fluid Analyses Microfiche,Unknown,1/31/1993 00:00:00,Drill Stem Test,1730.0,1725.5,4176.72,182.3,0.746,,,
23,00/14-03-070-21W5/0,Fluid Analyses Microfiche,Unknown,2/27/1984 00:00:00,Drill Stem Test,1322.0,1309.0,4573.29,189.7,0.569,,,
24,00/14-03-070-21W5/0,Fluid Analyses Microfiche,Unknown,2/28/1984 00:00:00,Drill Stem Test,1428.5,1412.0,4505.94,197.7,0.663,,,
25,00/02-20-081-08W5/0,Fluid Analyses Microfiche,Unknown,7/21/1987 00:00:00,Other,1747.0,1734.0,4136.6,184.2,0.792,,,
26,00/02-20-081-08W5/0,Fluid Analyses Microfiche,Unknown,7/22/1987 00:00:00,Drill Stem Test,1673.0,1655.0,4329.01,207.0,0.797,,,
27,00/02-20-081-08W5/0,Fluid Analyses Microfiche,Unknown,7/23/1987 00:00:00,Drill Stem Test,1673.0,1653.0,4262.84,190.6,0.754,,,
28,00/02-20-081-08W5/0,Fluid Analyses Microfiche,Unknown,7/23/1987 00:00:00,Other,1673.0,1653.0,4397.65,232.0,0.877,,,
29,00/06-30-080-09W5/0,Fluid Analyses Microfiche,Unknown,3/24/1985 00:00:00,Other,1727.0,1715.0,4443.7,248.2,0.919,,,
30,00/06-30-080-09W5/0,Fluid Analyses Microfiche,Unknown,6/11/1985 00:00:00,Meter Run,1722.0,1720.0,4448.81,235.3,0.86,,,
31,00/02-20-079-07W5/0,Fluid Analyses Microfiche,Unknown,3/10/1981 00:00:00,Other,589.0,566.0,4577.89,189.6,0.555,,,
32,00/04-21-081-08W5/0,Fluid Analyses Microfiche,Unknown,7/20/1967 00:00:00,Other,1758.7,1738.88,4119.23,217.5,0.963,,,
33,00/10-08-080-07W5/0,Electronic,Unknown,5/19/2000 00:00:00,Gas/Liquid Other,1680.0,1677.5,4410.0,263.7,1.009,,177.1,0.818
34,00/10-08-080-07W5/0,Fluid Analyses Microfiche,Unknown,3/3/1988 00:00:00,Other,1690.0,1672.0,4416.97,259.2,0.989,,,
35,00/12-30-078-07W5/0,Fluid Analyses Microfiche,Unknown,12/16/1984 00:00:00,Drill Stem Test,1724.0,1718.0,4326.3,195.1,0.743,,,
36,00/04-14-078-08W5/0,Electronic,Unknown,9/23/2004 00:00:00,Meter Run,1745.0,1741.3,4506.1,231.3,0.826,,161.0,0.78
37,00/15-25-077-08W5/0,Electronic,Unknown,4/21/2018 00:00:00,Other,1778.0,1769.0,4480.68,234.7,0.847,,,
38,00/15-25-077-08W5/0,Electronic,Unknown,7/26/2018 00:00:00,Other,1778.0,1769.0,4471.24,242.3,0.884,,,
39,00/15-25-077-08W5/0,Electronic,Unknown,2/13/2020 00:00:00,First Stage Separator,1778.0,1769.0,4519.3,249.8,0.903,,,
40,00/06-14-048-14W4/0,Fluid Analyses Microfiche,Unknown,3/3/1988 00:00:00,Other,740.0,737.0,4567.36,194.9,0.598,,,
41,00/14-20-068-25W5/0,AOFP/Pressure File,Unknown,12/23/1994 00:00:00,Wellhead,1675.5,1670.0,4685.0,201.3,0.619,,,
42,00/14-20-068-25W5/0,Electronic,Unknown,4/7/1999 00:00:00,Reservoir Fluid Other,1640.0,1637.0,4702.0,203.7,0.633,,,
43,00/14-20-068-25W5/0,Fluid Analyses Microfiche,Unknown,9/6/1985 00:00:00,Other,1661.71,1631.0,4586.66,208.0,0.66,,,
44,00/14-20-068-25W5/0,Fluid Analyses Microfiche,Unknown,9/27/1985 00:00:00,Drill Stem Test,3299.0,3284.0,4450.87,240.9,0.881,,,
45,00/06-17-068-04W6/0,Fluid Analyses Microfiche,Unknown,7/3/1965 00:00:00,First Stage Separator,3352.8,3349.8,4919.0,212.7,0.701,,,
46,00/06-17-068-04W6/0,Fluid Analyses Microfiche,Unknown,8/8/1966 00:00:00,First Stage Separator,3310.1,3286.4,4934.0,213.5,0.703,,,
47,00/06-17-068-04W6/0,Unknown,Unknown,7/9/1965 00:00:00,First Stage Separator,3335.1,3333.6,4903.0,211.5,0.701,,,
48,00/06-17-068-04W6/0,Unknown,Unknown,7/9/1965 00:00:00,Recombination (EUB Calculated),3335.1,3333.6,4803.0,228.5,0.843,3209.0,84.1,0.708
49,00/06-17-068-04W6/0,Unknown,Unknown,7/13/1965 00:00:00,Gas/Liquid Other,3335.1,3333.6,5269.0,247.9,0.874,,132.0,0.79
50,00/06-17-068-04W6/0,Unknown,Unknown,6/27/1966 00:00:00,Recombination (EUB Calculated),3335.1,3333.6,4855.0,231.2,0.849,3262.0,81.6,0.664
51,00/06-17-068-04W6/0,Unknown,Unknown,7/11/1966 00:00:00,Recombination (EUB Calculated),3335.1,3333.6,4874.0,229.4,0.833,3545.0,77.6,0.658
52,00/06-17-068-04W6/0,Unknown,Unknown,8/1/1966 00:00:00,Recombination (EUB Calculated),3310.1,3286.4,4878.0,227.5,0.813,3528.0,77.9,0.658
53,00/06-17-068-04W6/0,Unknown,Unknown,8/8/1966 00:00:00,Gas/Liquid Other,3310.1,3286.4,5440.0,269.4,0.958,,135.0,0.792
54,00/06-17-068-04W6/0,Unknown,Unknown,8/8/1966 00:00:00,Recombination (EUB Calculated),3310.1,3286.4,4867.0,226.8,0.814,3581.0,78.2,0.659
55,00/06-17-068-04W6/0,Unknown,Unknown,8/10/1966 00:00:00,Gas/Liquid Other,3310.1,3286.4,4943.0,214.8,0.705,,136.0,0.79
56,00/06-17-068-04W6/0,Unknown,Unknown,8/10/1966 00:00:00,Gas/Liquid Other,3310.1,3286.4,5460.0,267.5,0.956,,136.0,0.79
57,00/09-23-042-14W4/0,Electronic,Unknown,11/29/2001 00:00:00,Reservoir Fluid Other,784.5,781.0,4526.0,192.7,0.611,,,
58,00/09-23-042-14W4/0,Fluid Analyses Microfiche,Unknown,5/23/1983 00:00:00,Other,821.64,776.64,4522.29,192.5,0.611,,,
59,00/09-23-042-14W4/0,Fluid Analyses Microfiche,Unknown,1/8/1988 00:00:00,Wellhead,918.5,917.5,4587.0,197.3,0.643,,,
60,00/06-11-069-26W5/0,Fluid Analyses Microfiche,Unknown,8/21/1983 00:00:00,Drill Stem Test,3344.0,3310.0,4052.91,165.6,0.68,,,
61,00/06-11-069-26W5/0,Fluid Analyses Microfiche,Unknown,8/22/1983 00:00:00,Drill Stem Test,3228.0,3212.0,4498.67,208.8,0.699,,,
62,00/06-11-069-26W5/0,Fluid Analyses Microfiche,Unknown,8/22/1983 00:00:00,Other,3228.0,3212.0,4484.84,228.4,0.801,,,
63,00/16-14-068-21W5/0,Fluid Analyses Microfiche,Unknown,9/2/1985 00:00:00,Drill Stem Test,2934.0,2926.0,4188.04,340.3,1.477,,,
64,00/06-35-046-15W4/0,Fluid Analyses Microfiche,Unknown,6/13/1983 00:00:00,Other,770.0,745.0,4537.8,192.2,0.601,,,
65,00/10-33-065-20W5/0,AOFP/Pressure File,Unknown,2/1/1992 00:00:00,Wellhead,1346.3,1345.0,4555.0,199.0,0.626,,,
66,00/10-33-065-20W5/0,Electronic,Unknown,1/29/2001 00:00:00,Drill Stem Test,1346.5,1344.0,4568.0,198.6,0.616,,,
67,00/10-33-065-20W5/0,Fluid Analyses Microfiche,Unknown,3/18/1979 00:00:00,Other,1346.5,1344.0,4516.87,186.2,0.601,,,
68,00/10-33-065-20W5/0,Fluid Analyses Microfiche,Unknown,3/1/1992 00:00:00,Meter Run,1346.3,1345.0,4555.74,199.0,0.626,,,
69,00/02-20-051-23W4/0,Electronic,Unknown,2/28/2013 00:00:00,First Stage Separator,1264.1,1244.0,4616.44,221.7,0.758,,,
70,00/02-20-051-23W4/0,Electronic,Unknown,6/24/2013 00:00:00,Meter Run,1264.5,1244.0,4605.98,223.1,0.768,,,
71,00/02-20-051-23W4/0,Fluid Analyses Microfiche,Unknown,3/25/1980 00:00:00,Drill Stem Test,1266.0,1236.0,4454.34,209.7,0.71,,,
72,00/02-20-051-23W4/0,Fluid Analyses Microfiche,Unknown,12/29/1981 00:00:00,Other,1264.5,1262.5,4604.41,222.2,0.754,,,
73,00/04-12-069-26W5/0,Fluid Analyses Microfiche,Unknown,2/26/1982 00:00:00,Drill Stem Test,3282.0,3264.0,4530.63,207.0,0.686,,,
74,00/02-23-066-25W5/0,Electronic,Unknown,7/13/2013 00:00:00,First Stage Separator,3386.3,3379.6,4579.87,226.3,0.772,,,
75,00/02-23-066-25W5/0,Electronic,Unknown,7/27/2015 00:00:00,First Stage Separator,3386.3,3379.6,4572.01,231.7,0.801,,,
76,00/10-23-065-20W5/0,AOFP/Pressure File,Unknown,1/28/1986 00:00:00,Recombination (Submitted),1398.0,1395.5,4562.0,201.1,0.634,,,
77,00/10-23-065-20W5/0,Electronic,Unknown,1/20/2001 00:00:00,Wellhead,1398.0,1395.5,4588.0,200.2,0.622,,,
78,00/10-23-065-20W5/0,Fluid Analyses Microfiche,Unknown,11/12/1991 00:00:00,Other,1398.0,1395.5,4575.42,199.0,0.614,,,
79,00/10-23-065-20W5/0,Unknown,Unknown,3/18/1979 00:00:00,Recombination (EUB Calculated),1398.0,1395.5,4573.0,199.4,0.618,99990.0,79.2,0.643
80,00/05-22-066-25W5/0,Electronic,Unknown,5/16/2001 00:00:00,Gas/Liquid Other,2024.0,2022.0,4602.0,227.6,0.766,,179.0,0.824
81,00/05-22-066-25W5/0,Fluid Analyses Microfiche,Unknown,8/27/1983 00:00:00,Drill Stem Test,1577.0,1565.0,4541.15,190.2,0.588,,,
82,00/10-32-063-21W5/0,AOFP/Pressure File,Unknown,8/1/1983 00:00:00,Gas/Liquid Other,1911.2,11.1,4629.0,208.2,0.661,,132.2,0.764
83,00/10-32-063-21W5/0,AOFP/Pressure File,Unknown,9/9/1983 00:00:00,Recombination (Submitted),1917.5,1908.0,4643.0,205.9,0.642,,,
84,00/10-32-063-21W5/0,AOFP/Pressure File,Unknown,2/25/1984 00:00:00,Recombination (Submitted),1641.6,1637.8,4647.0,205.8,0.643,,,
85,00/14-23-067-24W5/0,Fluid Analyses Microfiche,Unknown,4/23/1984 00:00:00,Other,3187.0,3165.0,4402.39,238.7,0.894,,,
86,00/14-23-067-24W5/0,Fluid Analyses Microfiche,Unknown,4/23/1984 00:00:00,Other,3187.0,3165.0,4473.52,220.5,0.772,,,
87,00/14-23-067-24W5/0,Fluid Analyses Microfiche,Unknown,6/22/1984 00:00:00,Other,3177.0,3165.5,4499.84,241.0,0.858,,,
88,00/07-27-063-18W5/0,Electronic,Unknown,11/6/1999 00:00:00,Gas/Liquid Other,1471.0,1465.0,4583.0,205.7,0.647,,92.0,0.697
89,00/07-27-063-18W5/0,Electronic,Unknown,12/14/1999 00:00:00,Gas/Liquid Other,1471.0,1465.0,4579.0,205.9,0.651,,107.0,0.727
90,00/07-27-063-18W5/0,Electronic,Unknown,1/12/2006 00:00:00,Meter Run,1471.0,1465.0,4575.78,206.8,0.663,,,
91,00/07-27-063-18W5/0,Electronic,Unknown,2/21/2007 00:00:00,Meter Run,1471.0,1465.0,4583.87,207.8,0.663,,,
92,00/07-27-063-18W5/0,Electronic,Unknown,2/21/2007 00:00:00,Meter Run,1471.0,1465.0,4594.5,208.3,0.663,,,
93,00/07-27-063-18W5/0,Electronic,Unknown,2/24/2009 00:00:00,Meter Run,1471.0,1465.0,4587.68,207.9,0.661,,,
94,00/16-15-063-19W5/0,Electronic,Unknown,2/26/2004 00:00:00,Reservoir Fluid Other,3066.0,3047.0,4636.0,222.6,0.736,,,
95,00/03-22-066-03W6/0,Fluid Analyses Microfiche,Unknown,9/9/1983 00:00:00,Drill Stem Test,2339.0,2260.0,4575.73,212.5,0.677,,,
96,00/03-22-066-03W6/0,Fluid Analyses Microfiche,Unknown,9/9/1983 00:00:00,Other,2339.0,2260.0,4554.5,215.2,0.703,,,
97,00/03-22-066-03W6/0,Fluid Analyses Microfiche,Unknown,9/22/1983 00:00:00,Drill Stem Test,2396.0,2381.0,4546.5,216.4,0.712,,,
98,00/08-30-052-05W5/0,Electronic,Unknown,5/13/1999 00:00:00,Reservoir Fluid Other,1629.0,1617.0,4616.0,214.7,0.687,,,
99,00/08-30-052-05W5/0,Electronic,Unknown,11/13/2003 00:00:00,Reservoir Fluid Other,1631.0,1617.0,4617.0,208.9,0.663,,,
100,00/08-30-052-05W5/0,Fluid Analyses Microfiche,Unknown,8/29/1984 00:00:00,Other,1624.0,1614.0,4565.54,206.7,0.672,,,
101,00/08-30-052-05W5/0,Fluid Analyses Microfiche,Unknown,9/21/1984 00:00:00,Other,1578.0,1574.0,4646.64,195.9,0.59,,,
102,00/12-35-063-18W5/0,Electronic,Unknown,3/8/2001 00:00:00,Reservoir Fluid Other,1522.0,1513.0,4638.0,206.5,0.657,,,
103,00/12-35-063-18W5/0,Electronic,Unknown,2/13/2002 00:00:00,Reservoir Fluid Other,1522.0,1513.0,4590.0,204.0,0.635,,,
104,00/12-35-063-18W5/0,Electronic,Unknown,2/3/2006 00:00:00,Other,2269.0,2266.0,4619.3,208.2,0.661,,,
105,00/07-13-065-26W5/0,Fluid Analyses Microfiche,Unknown,2/5/1981 00:00:00,Drill Stem Test,2212.0,2188.0,4481.74,206.0,0.705,,,
106,00/07-13-065-26W5/0,Fluid Analyses Microfiche,Unknown,2/4/1982 00:00:00,Drill Stem Test,2371.0,2359.0,4557.59,227.8,0.84,,,
107,00/03-32-063-22W5/0,AOFP/Pressure File,Unknown,1/25/1988 00:00:00,Recombination (EUB Calculated),1970.0,1967.0,4604.0,216.9,0.709,21450.0,171.0,0.833
108,00/03-32-063-22W5/0,Fluid Analyses Microfiche,Unknown,8/26/1985 00:00:00,Other,3428.0,3417.0,4371.21,195.9,0.697,,,
109,00/03-32-063-22W5/0,Fluid Analyses Microfiche,Unknown,1/25/1988 00:00:00,Other,1970.0,1967.0,4614.17,215.5,0.698,,,
110,00/04-35-069-19W5/0,Fluid Analyses Microfiche,Unknown,1/27/1982 00:00:00,Other,2752.8,2749.8,4634.31,258.9,1.0,,,
111,00/06-21-064-25W5/0,Fluid Analyses Microfiche,Unknown,8/14/1990 00:00:00,Other,2088.0,2076.0,4567.21,210.2,0.669,,,
112,00/06-06-037-20W4/0,Fluid Analyses Microfiche,Unknown,12/7/1960 00:00:00,Reservoir Fluid Other,1629.8,1628.5,4882.0,256.9,0.997,,,
113,00/13-20-065-02W6/0,Fluid Analyses Microfiche,Unknown,7/30/1996 00:00:00,Drill Stem Test,4006.0,3879.0,4041.72,165.0,0.716,,,
114,00/13-20-065-02W6/0,Fluid Analyses Microfiche,Unknown,7/30/1996 00:00:00,Reservoir Fluid Other,4006.0,3879.0,3931.0,155.7,0.84,,,
115,00/14-10-066-01W6/0,Fluid Analyses Microfiche,Unknown,9/6/1980 00:00:00,Drill Stem Test,2524.0,2512.0,4594.9,196.6,0.587,,,
116,00/05-36-061-18W5/0,Fluid Analyses Microfiche,Unknown,2/26/1983 00:00:00,Other,3070.0,3034.0,4660.57,229.8,0.79,,,
117,00/05-36-061-18W5/0,Unknown,Unknown,3/2/1983 00:00:00,Drill Stem Test,3066.0,3056.0,4651.0,218.9,0.721,,,
118,00/05-36-061-18W5/0,Unknown,Unknown,3/5/1983 00:00:00,Reservoir Fluid Other,3066.0,3056.0,4811.0,216.7,0.712,,,
119,00/09-33-055-12W5/0,Electronic,Unknown,1/4/2004 00:00:00,Reservoir Fluid Other,1892.0,1890.0,4629.0,214.5,0.693,,,
120,00/09-33-055-12W5/0,Fluid Analyses Microfiche,Unknown,3/24/1985 00:00:00,Other,1924.0,1904.5,4645.4,211.3,0.666,,,
121,00/11-27-049-08W5/0,Fluid Analyses Microfiche,Unknown,4/11/1980 00:00:00,Drill Stem Test,2045.0,2006.0,4671.0,205.1,0.646,,,
122,00/11-27-049-08W5/0,Fluid Analyses Microfiche,Unknown,6/15/1980 00:00:00,Drill Stem Test,1764.0,1757.0,4574.0,202.9,0.635,,,
123,00/09-34-053-14W5/0,Electronic,Unknown,4/10/2006 00:00:00,Meter Run,1920.6,1916.0,4622.56,215.4,0.697,,,
124,00/13-21-065-24W5/0,Fluid Analyses Microfiche,Unknown,3/8/1982 00:00:00,Other,2282.0,2275.0,4588.65,197.1,0.602,,,
125,00/16-11-030-25W4/0,Fluid Analyses Microfiche,Unknown,11/14/1988 00:00:00,Drill Stem Test,2547.0,2535.0,4094.57,182.8,0.712,,,
126,00/16-11-030-25W4/0,Fluid Analyses Microfiche,Unknown,11/14/1988 00:00:00,Drill Stem Test,2547.0,2535.0,4099.89,179.4,0.734,,,
127,00/16-11-030-25W4/0,Fluid Analyses Microfiche,Unknown,11/15/1988 00:00:00,Drill Stem Test,1705.0,1697.0,4519.93,205.3,0.702,,,
128,00/16-11-030-25W4/0,Fluid Analyses Microfiche,Unknown,11/17/1988 00:00:00,Drill Stem Test,1705.0,1697.0,4606.89,203.0,0.626,,,
129,00/16-11-030-25W4/0,Fluid Analyses Microfiche,Unknown,11/17/1988 00:00:00,Other,1705.0,1697.0,4697.52,307.3,1.134,,,
130,00/10-30-032-23W4/0,Fluid Analyses Microfiche,Unknown,9/20/1988 00:00:00,Drill Stem Test,2403.0,2378.0,4373.09,187.6,0.63,,,
131,00/10-30-032-23W4/0,Fluid Analyses Microfiche,Unknown,9/21/1988 00:00:00,Drill Stem Test,1811.5,1794.0,4572.48,207.5,0.658,,,
132,00/15-01-063-18W5/0,Fluid Analyses Microfiche,Unknown,2/13/1985 00:00:00,Other,3059.0,3039.0,4484.29,205.3,0.701,,,
133,00/15-01-063-18W5/0,Fluid Analyses Microfiche,Unknown,2/15/1985 00:00:00,Other,1855.0,1847.0,4580.05,201.4,0.629,,,
134,00/16-36-029-23W4/0,Fluid Analyses Microfiche,Unknown,9/10/1989 00:00:00,Drill Stem Test,2185.0,2175.0,4460.1,226.7,0.812,,,
135,00/16-36-029-23W4/0,Fluid Analyses Microfiche,Unknown,9/10/1989 00:00:00,Drill Stem Test,2185.0,2175.0,4478.73,238.1,0.863,,,
136,00/07-34-053-15W5/0,Fluid Analyses Microfiche,Unknown,3/22/1988 00:00:00,Drill Stem Test,2337.0,2318.0,4671.0,202.8,0.627,,,
137,00/14-15-036-21W4/0,AOFP/Pressure File,Unknown,5/24/1988 00:00:00,Reservoir Fluid Other,1308.7,1306.9,4580.0,212.0,0.678,,,
138,00/07-01-048-10W5/0,Electronic,Unknown,3/6/2000 00:00:00,Wellhead,2265.0,2249.0,4630.0,215.6,0.7,,,
139,00/07-01-048-10W5/0,Electronic,Unknown,5/18/2001 00:00:00,Reservoir Fluid Other,2265.0,2249.0,4631.0,215.3,0.698,,,
140,00/07-01-048-10W5/0,Electronic,Unknown,5/15/2006 00:00:00,Meter Run,2265.0,2249.0,4626.81,216.7,0.706,,,
141,00/07-01-048-10W5/0,Electronic,Unknown,7/21/2010 00:00:00,Meter Run,2265.0,2249.0,4628.57,216.2,0.703,,,
142,00/07-01-048-10W5/0,Fluid Analyses Microfiche,Unknown,3/9/1981 00:00:00,Meter Run,2265.0,2249.0,4600.65,209.4,0.685,,,
143,00/07-01-048-10W5/0,Fluid Analyses Microfiche,Unknown,3/9/1981 00:00:00,Other,2265.0,2249.0,4387.46,257.5,1.075,,,
144,00/09-17-034-25W4/0,AOFP/Pressure File,Unknown,5/17/1985 00:00:00,Recombination (EUB Calculated),1733.7,1702.0,4598.0,216.9,0.706,20080.0,87.8,0.695
145,00/09-17-034-25W4/0,AOFP/Pressure File,Unknown,2/28/1990 00:00:00,Reservoir Fluid Other,1733.7,1702.0,4603.0,214.7,0.697,,,
146,00/09-17-034-25W4/0,Electronic,Unknown,11/20/2000 00:00:00,Reservoir Fluid Other,927.0,921.0,4580.0,214.1,0.704,,,
147,00/09-17-034-25W4/0,Electronic,Unknown,2/12/2003 00:00:00,Reservoir Fluid Other,1733.7,1707.5,4582.0,215.4,0.703,,,
148,00/09-17-034-25W4/0,Fluid Analyses Microfiche,Unknown,6/30/1959 00:00:00,Other,1739.8,1698.35,4599.44,213.6,0.689,,,
149,00/09-17-034-25W4/0,Fluid Analyses Microfiche,Unknown,7/27/1960 00:00:00,Meter Run,1732.48,1702.0,4615.32,212.1,0.679,,,
150,00/09-17-034-25W4/0,Fluid Analyses Microfiche,Unknown,8/11/1960 00:00:00,First Stage Separator,1732.48,1702.0,3535.46,440.5,2.306,,,
151,00/09-17-034-25W4/0,Fluid Analyses Microfiche,Unknown,8/17/1960 00:00:00,First Stage Separator,1732.48,1702.0,4605.8,213.8,0.692,,,
152,00/09-17-034-25W4/0,Unknown,Unknown,11/30/1982 00:00:00,Reservoir Fluid Other,1730.2,1698.5,4602.0,214.7,0.696,,,
153,00/11-36-062-25W5/0,Electronic,Unknown,10/28/2004 00:00:00,Meter Run,1780.5,1778.0,4822.08,244.5,0.898,,,
154,00/11-36-062-25W5/0,Electronic,Unknown,1/25/2006 00:00:00,Meter Run,1780.5,1778.0,4579.39,226.4,0.753,,,
155,00/06-11-033-24W4/0,AOFP/Pressure File,Unknown,12/31/1987 00:00:00,Gas/Liquid Other,1663.0,1650.0,4575.0,212.4,0.68,,125.9,0.779
156,00/06-11-033-24W4/0,Electronic,Unknown,11/14/2000 00:00:00,Reservoir Fluid Other,1663.0,1650.0,4562.0,222.0,0.736,,,
157,00/06-11-033-24W4/0,Electronic,Unknown,1/14/2003 00:00:00,Reservoir Fluid Other,1663.0,1650.0,4552.0,222.3,0.743,,,
158,00/06-11-033-24W4/0,Fluid Analyses Microfiche,Unknown,1/23/1987 00:00:00,Other,2454.0,2447.0,4514.73,245.7,0.872,,,
159,00/15-35-044-02W5/0,Fluid Analyses Microfiche,Unknown,2/1/1988 00:00:00,Drill Stem Test,2317.0,2283.0,3478.55,133.5,0.95,,,
160,00/15-35-044-02W5/0,Fluid Analyses Microfiche,Unknown,2/3/1988 00:00:00,Drill Stem Test,2219.0,2185.0,4709.04,214.4,0.704,,,
161,00/15-35-044-02W5/0,Fluid Analyses Microfiche,Unknown,2/4/1988 00:00:00,Drill Stem Test,2219.0,2185.0,4708.0,214.2,0.703,,,
162,00/10-12-063-15W5/0,Electronic,Unknown,2/23/2001 00:00:00,Reservoir Fluid Other,2847.0,2785.0,4633.0,215.7,0.7,,,
163,00/10-12-063-15W5/0,Electronic,Unknown,3/4/2003 00:00:00,First Stage Separator,2847.0,2788.0,4614.68,216.6,0.709,,,
164,00/10-12-063-15W5/0,Electronic,Unknown,3/4/2003 00:00:00,Reservoir Fluid Other,2847.0,2785.0,4614.0,216.5,0.708,,,
165,00/10-12-063-15W5/0,Electronic,Unknown,4/29/2005 00:00:00,First Stage Separator,2847.0,2788.0,4604.58,209.2,0.667,,,
166,00/10-12-063-15W5/0,Electronic,Unknown,4/18/2007 00:00:00,First Stage Separator,2847.0,2788.0,4601.32,214.2,0.7,,,
167,00/10-12-063-15W5/0,Electronic,Unknown,5/9/2011 00:00:00,Meter Run,2847.0,2788.0,4593.48,212.3,0.681,,,
168,00/10-12-063-15W5/0,Electronic,Unknown,6/29/2011 00:00:00,Meter Run,2847.0,2788.0,4592.9,211.9,0.68,,,
169,00/10-12-063-15W5/0,Electronic,Unknown,4/26/2012 00:00:00,Meter Run,2847.0,2788.0,4604.7,211.8,0.678,,,
170,00/10-12-063-15W5/0,Electronic,Unknown,3/4/2013 00:00:00,Meter Run,2847.0,2788.0,4619.1,210.6,0.662,,,
171,00/10-12-063-15W5/0,Electronic,Unknown,4/15/2014 00:00:00,Meter Run,2847.0,2788.0,4619.51,207.3,0.644,,,
172,00/11-26-053-15W5/0,Fluid Analyses Microfiche,Unknown,10/31/1978 00:00:00,Other,3335.0,3315.0,4575.68,194.3,0.592,,,
173,00/16-34-063-26W5/0,Fluid Analyses Microfiche,Unknown,9/5/1995 00:00:00,Drill Stem Test,2393.0,2388.0,4557.12,208.0,0.672,,,
