,01.Well Identifier,02.Well Core Analysis Number,03.Well Core No,04.Core Interval Top,05.Core Interval Base,06.Core Recovered
46,00/12-30-078-07W5/0,53298,1,1718.0,1733.5,15.5
47,00/04-30-080-07W5/0,72760,1,1688.6,1698.3,9.7
48,00/04-14-078-08W5/0,20546,1,1737.36,1752.6,15.24
49,00/02-01-078-08W5/0,23915,1,1757.17,1770.28,13.11
50,00/13-20-071-21W5/0,34282,1,1360.0,1378.0,18.0
51,00/13-20-071-21W5/0,34282,2,2776.0,2786.0,10.0
52,00/13-20-071-21W5/0,34282,3,2786.0,2795.25,9.25
53,02/07-18-045-13W4/0,91648,1,1305.0,1323.25,18.25
54,02/07-18-045-13W4/0,91648,2,1365.0,1383.0,18.0
55,00/16-34-068-26W5/0,32982,1,3245.0,3263.2,18.2
56,00/15-25-077-08W5/0,72779,1,1771.4,1778.4,5.0
57,00/15-25-077-08W5/0,72779,2,1778.4,1783.4,4.3
58,00/06-17-068-04W6/0,6353,1,2478.33,2496.62,18.29
59,00/06-17-068-04W6/0,13106,2,3294.58,3313.27,18.69
60,00/06-17-068-04W6/0,13106,3,3313.27,3326.89,13.62
61,00/06-17-068-04W6/0,13106,4,3326.89,3332.99,6.1
62,00/06-17-068-04W6/0,13106,5,3332.99,3334.21,1.22
63,00/06-17-068-04W6/0,13106,6,3334.21,3340.3,6.09
64,00/06-17-068-04W6/0,13106,7,3340.3,3358.59,18.29
65,00/06-17-068-04W6/0,13106,8,3358.59,3368.34,9.75
66,02/06-15-045-15W4/0,50228,1,1680.0,1696.0,15.6
67,00/02-04-030-21W4/0,11560,1,1598.98,1603.25,4.27
68,00/01-28-057-03W5/0,29128,1,1227.0,1244.5,17.5
69,00/01-28-057-03W5/0,29128,2,1244.5,1261.0,16.5
70,00/06-14-069-20W5/0,51206,1,1476.0,1494.25,18.0
71,00/06-14-069-20W5/0,51206,2,2718.0,2736.2,18.2
72,00/06-14-069-20W5/0,51206,3,2820.0,2831.55,11.55
73,00/06-11-069-26W5/0,34744,1,3310.0,3319.2,9.2
74,00/06-11-069-26W5/0,34744,2,3319.2,3324.2,5.0
75,00/16-14-068-21W5/0,57848,1,2816.0,2834.0,18.0
76,00/16-14-068-21W5/0,57848,2,2926.0,2944.0,18.0
77,00/08-23-043-16W4/0,50970,1,1513.0,1531.0,18.0
78,00/08-23-043-16W4/0,50970,2,1784.2,1802.8,18.6
79,00/08-23-043-16W4/0,50970,3,1802.8,1812.2,9.4
80,00/02-23-066-25W5/0,17328,2,3371.7,3388.77,17.07
81,00/01-18-067-18W5/0,77956,1,2769.0,2787.0,17.3
82,00/01-18-067-18W5/0,77956,2,2787.0,2798.0,9.15
83,00/03-30-067-26W5/0,31586,1,2020.5,2028.4,7.9
84,00/03-30-067-26W5/0,31586,2,2028.4,2047.0,18.6
85,00/03-30-067-26W5/0,31586,3,3532.5,3543.55,11.05
86,00/12-36-064-19W5/0,64427,1,2940.0,2958.3,18.3
87,00/05-22-066-25W5/0,51156,1,3414.0,3424.8,9.1
88,00/10-32-063-21W5/0,18550,2,1150.62,1163.12,12.5
89,00/16-02-066-25W5/0,53543,1,3387.0,3398.0,1.1
90,00/16-02-066-25W5/0,53543,2,3398.0,3401.0,3.0
91,00/16-02-066-25W5/0,53543,3,3405.0,3410.1,3.2
92,00/02-13-061-13W5/0,29911,1,2568.0,2586.25,18.25
93,00/02-13-061-13W5/0,29911,2,2586.25,2604.5,18.25
94,00/02-15-067-18W5/0,50259,1,2818.0,2836.0,18.0
95,00/04-26-066-01W6/0,81046,1,3647.6,3659.6,11.85
96,00/04-26-066-01W6/0,81046,2,3659.6,3677.6,17.25
97,00/11-24-056-14W5/0,22621,1,2962.66,2972.1,9.44
98,00/11-24-056-14W5/0,22621,2,2972.1,2987.65,15.55
99,00/11-24-056-14W5/0,22621,3,2987.65,2998.62,10.97
100,00/11-24-056-14W5/0,22621,4,2998.62,3008.99,10.37
101,00/04-35-069-19W5/0,31564,1,2758.0,2776.0,18.0
102,00/08-33-031-22W4/0,70816,1,2245.0,2246.0,0.85
103,00/08-33-031-22W4/0,70816,2,2246.0,2264.4,18.4
104,00/08-33-031-22W4/0,70816,3,2264.4,2277.0,12.2
105,00/06-21-064-25W5/0,72335,1,2079.0,2088.15,9.15
106,00/06-21-064-25W5/0,72386,2,3608.0,3626.0,1.4
107,00/06-21-064-25W5/0,72386,3,3626.0,3644.0,18.0
108,00/13-20-065-02W6/0,80563,1,3944.0,3963.0,18.85
109,00/13-20-065-02W6/0,80563,2,3963.0,3973.0,9.5
110,00/13-20-065-02W6/0,80563,3,3973.0,3991.5,18.3
111,00/14-10-066-01W6/0,30948,1,2516.0,2524.2,8.2
112,00/05-36-061-18W5/0,34096,1,3024.0,3068.3,44.3
113,00/06-15-048-03W5/0,1275,1,1256.39,1270.71,14.32
114,00/06-15-048-03W5/0,1275,2,1270.71,1271.63,0.92
115,00/01-15-069-15W5/0,50446,1,2586.0,2604.0,18.0
116,00/01-15-069-15W5/0,50446,2,2604.0,2622.0,18.0
117,00/09-33-055-12W5/0,54466,1,1901.0,1910.72,7.4
118,00/09-33-055-12W5/0,54466,2,1910.72,1911.0,0.28
119,00/09-33-055-12W5/0,54466,3,1911.0,1924.0,13.0
120,00/09-34-053-14W5/0,84988,1,3172.2,3190.6,18.3
121,00/09-34-053-14W5/0,84988,2,3190.6,3209.05,18.45
122,00/05-31-062-13W5/0,31232,1,1729.0,1736.57,7.57
123,00/06-29-046-01W5/0,52020,1,940.0,958.3,18.3
124,00/06-29-046-01W5/0,52123,1,2410.0,2417.0,5.55
125,00/10-30-032-23W4/0,68761,1,2372.0,2389.5,16.3
126,00/10-30-032-23W4/0,68761,2,2389.5,2408.0,18.5
127,00/10-30-032-23W4/0,68761,3,2408.0,2426.8,18.8
128,02/10-14-033-24W4/0,67050,1,2377.6,2394.4,13.1
129,02/10-14-033-24W4/0,67050,2,2408.75,2414.0,5.05
130,00/05-31-062-24W5/0,82381,1,3681.0,3686.0,4.95
131,00/05-31-062-24W5/0,82381,2,3686.0,3690.0,2.8
132,00/14-02-063-10W5/0,51804,1,2496.0,2507.4,11.4
133,00/14-02-063-10W5/0,51804,2,2507.4,2515.95,8.55
134,00/16-36-069-18W5/0,29361,1,2732.0,2748.0,16.0
135,00/16-27-032-24W4/0,65125,1,2414.0,2432.0,18.0
136,00/16-27-032-24W4/0,65125,2,2432.0,2442.6,5.8
137,00/09-17-034-25W4/0,24724,1,2459.74,2463.39,3.65
138,00/11-36-062-25W5/0,83498,1,3699.0,3717.0,18.0
139,00/14-02-066-01W6/0,78167,1,1587.3,1587.31,0.0
140,00/14-02-066-01W6/0,78167,2,1608.7,1608.71,0.0
141,00/14-02-066-01W6/0,78167,3,1610.5,1610.51,0.0
142,00/14-02-066-01W6/0,78167,4,1619.0,1619.01,0.0
143,00/14-02-066-01W6/0,78167,5,1619.5,1619.51,0.0
144,00/14-02-066-01W6/0,78167,6,1822.3,1822.31,0.0
145,00/14-02-066-01W6/0,78167,7,1825.3,1825.31,0.0
146,00/14-02-066-01W6/0,78167,8,1828.2,1828.21,0.0
147,00/14-02-066-01W6/0,78167,9,1883.3,1883.31,0.0
148,00/14-02-066-01W6/0,78167,10,1883.8,1883.81,0.0
149,00/14-02-066-01W6/0,78167,11,1885.4,1885.41,0.0
150,00/14-02-066-01W6/0,78167,12,1886.0,1886.01,0.0
151,00/14-02-066-01W6/0,78167,13,2273.0,2273.01,0.0
152,00/14-02-066-01W6/0,78167,14,2372.5,2372.51,0.0
153,00/14-02-066-01W6/0,78167,15,2374.0,2374.01,0.0
154,00/14-02-066-01W6/0,78167,16,2375.2,2375.21,0.0
155,00/14-02-066-01W6/0,78167,17,2377.7,2377.71,0.0
156,00/14-02-066-01W6/0,78167,18,2383.0,2383.01,0.0
157,00/14-02-066-01W6/0,78167,19,2385.6,2385.61,0.0
158,00/14-02-066-01W6/0,78167,20,2392.0,2392.01,0.0
159,00/14-02-066-01W6/0,78167,21,2562.2,2562.21,0.0
160,00/14-02-066-01W6/0,78167,22,2564.2,2564.21,0.0
161,00/14-02-066-01W6/0,78167,23,2565.7,2565.71,0.0
162,00/14-02-066-01W6/0,78167,24,2566.7,2566.71,0.0
163,00/14-02-066-01W6/0,78167,25,2570.2,2570.21,0.0
164,00/10-12-063-15W5/0,81458,1,2764.0,2766.4,1.7
165,00/10-12-063-15W5/0,81458,2,2766.4,2776.6,9.6
166,00/10-12-063-15W5/0,81458,3,2776.6,2785.0,5.05
167,00/11-26-053-15W5/0,27453,1,3289.0,3307.2,18.2
168,00/11-26-053-15W5/0,27453,2,3307.2,3325.16,17.96
169,00/11-26-053-15W5/0,27453,3,3325.16,3343.6,18.44
170,00/11-06-064-26W5/0,72939,1,3865.4,3875.6,10.2
171,00/16-34-063-26W5/0,79354,1,3817.0,3820.4,2.2
172,00/16-34-063-26W5/0,79354,2,3820.4,3825.4,3.85
173,00/16-34-063-26W5/0,79354,3,3825.4,3837.2,9.55
174,00/16-34-063-26W5/0,79354,4,3837.2,3855.4,18.0
175,00/12-14-067-08W5/0,53113,1,2273.0,2286.0,10.8
176,00/12-14-067-08W5/0,53113,2,2286.6,2305.0,10.2
177,00/06-22-033-25W4/0,74273,1,2513.0,2531.0,17.7
178,00/06-22-033-25W4/0,74273,2,2531.0,2549.0,16.9
179,00/06-14-031-27W4/0,68744,1,2765.0,2783.0,18.0
180,00/06-14-031-27W4/0,68744,2,2783.0,2787.9,3.4
181,00/09-18-049-09W5/0,30991,1,2137.0,2142.91,5.91
182,00/09-18-049-09W5/0,30991,2,2142.91,2151.0,8.09
183,00/09-18-049-09W5/0,30991,3,2151.0,2165.52,14.52
184,00/09-18-049-09W5/0,30991,4,2165.52,2177.8,12.28
185,00/09-18-049-09W5/0,30991,5,2685.0,2703.0,18.0
186,00/09-18-049-09W5/0,30991,6,3202.0,3220.0,18.0
187,00/09-06-052-11W5/0,19801,1,1257.0,1259.95,2.95
188,00/09-06-052-11W5/0,19801,3,1299.97,1314.97,15.0
189,00/09-06-052-11W5/0,25373,8,2166.21,2182.98,16.77
190,00/14-20-053-15W5/0,28494,1,3380.0,3387.0,7.0
191,00/06-24-065-17W5/0,27915,1,2223.0,2233.0,10.0
192,00/06-24-065-17W5/0,27915,2,2233.0,2240.0,7.0
193,00/06-24-065-17W5/0,27915,3,2518.0,2527.0,9.0
194,00/09-29-065-15W5/0,50340,1,1702.4,1720.4,18.0
195,00/09-29-065-15W5/0,50340,2,2812.0,2830.0,18.0
196,00/09-29-065-15W5/0,50340,3,2830.0,2848.0,18.0
197,00/10-28-062-12W5/0,30649,1,2614.0,2632.2,18.2
198,00/06-13-052-16W5/0,32607,1,1867.4,1881.4,14.0
199,00/06-13-052-16W5/0,32698,2,1899.4,1917.6,18.2
200,00/06-13-052-16W5/0,32837,3,3092.6,3100.6,8.0
201,00/06-13-052-16W5/0,32837,4,3100.6,3118.3,17.7
202,00/01-18-044-03W5/0,54456,1,1772.6,1788.2,15.6
203,00/01-23-064-27W5/0,77604,1,1775.0,1788.95,13.95
204,00/01-23-064-27W5/0,77604,2,1788.95,1807.75,18.8
205,00/01-23-064-27W5/0,77662,9,1763.2,1763.21,0.0
206,00/01-23-064-27W5/0,77662,10,1763.8,1763.81,0.0
207,00/01-23-064-27W5/0,77662,11,1764.6,1764.61,0.0
208,00/01-23-064-27W5/0,77662,12,1983.8,1983.81,0.0
209,00/01-23-064-27W5/0,77662,13,1984.0,1984.01,0.0
210,00/01-23-064-27W5/0,77662,14,2512.5,2512.51,0.0
211,00/01-23-064-27W5/0,77662,15,2513.0,2513.01,0.0
212,00/01-23-064-27W5/0,77662,16,2513.2,2513.21,0.0
213,00/01-23-064-27W5/0,77662,17,2513.4,2513.41,0.0
214,00/01-23-064-27W5/0,77662,18,2513.6,2513.61,0.0
215,00/01-23-064-27W5/0,77662,19,2513.8,2513.81,0.0
216,00/01-23-064-27W5/0,77662,20,2514.0,2514.01,0.0
217,00/01-23-064-27W5/0,77662,21,2514.5,2514.51,0.0
218,00/01-23-064-27W5/0,77757,3,3901.0,3906.6,0.6
219,00/01-23-064-27W5/0,77757,4,3906.6,3909.8,0.5
220,00/01-23-064-27W5/0,77757,5,3909.8,3912.8,1.3
221,00/01-23-064-27W5/0,77757,6,3912.8,3915.8,1.2
222,00/01-23-064-27W5/0,77757,7,3915.8,3923.6,3.65
223,00/01-23-064-27W5/0,77757,8,3923.6,3931.8,6.75
224,02/14-20-047-09W5/0,29195,1,2285.0,2299.8,14.8
225,02/14-20-047-09W5/0,29195,2,2299.8,2305.2,5.4
226,02/14-20-047-09W5/0,29195,3,2852.0,2870.2,18.2
227,02/14-20-047-09W5/0,29195,4,2870.2,2897.6,27.4
228,00/16-01-061-22W5/0,33053,1,1868.0,1886.0,18.0
229,00/16-01-061-22W5/0,33053,2,1886.0,1904.0,18.0
230,00/16-01-061-22W5/0,33053,3,3418.0,3436.0,18.0
231,00/11-14-064-27W5/0,78295,4,3901.5,3911.0,9.5
232,00/11-14-064-27W5/0,78307,1,1785.0,1803.2,18.05
233,00/11-14-064-27W5/0,78308,2,2538.0,2539.8,1.7
234,00/11-14-064-27W5/0,78308,3,2539.8,2549.1,9.3
235,00/11-14-064-27W5/0,78809,5,3929.0,3942.4,12.4
236,00/11-14-064-27W5/0,78809,6,3942.4,3952.6,10.15
237,00/11-14-064-27W5/0,78809,7,3952.6,3963.2,10.6
238,00/08-18-052-14W5/0,31335,1,1799.0,1800.05,1.05
239,00/08-18-052-14W5/0,31335,2,1800.05,1817.8,17.75
240,00/04-23-040-07W5/0,19635,1,1989.73,2005.58,15.85
241,00/04-23-040-07W5/0,19635,2,2006.19,2015.95,9.76
242,00/07-01-041-03W5/0,64278,1,2774.0,2783.0,9.0
243,00/07-01-041-03W5/0,64278,2,2783.0,2789.0,5.8
244,00/07-01-041-03W5/0,64278,3,2789.0,2797.0,7.75
245,00/07-01-041-03W5/0,64278,4,2797.0,2800.4,3.4
246,00/07-01-041-03W5/0,64278,5,2800.4,2807.8,7.4
247,00/07-01-041-03W5/0,64278,6,2807.8,2813.4,5.6
248,00/07-01-041-03W5/0,64278,7,2813.4,2831.6,18.2
249,00/03-22-052-19W5/0,27675,1,2592.0,2595.7,3.7
250,00/03-22-052-19W5/0,27675,2,2595.7,2614.0,18.3
251,00/03-09-065-12W5/0,27527,1,2697.5,2715.75,18.25
252,00/03-09-065-12W5/0,27527,2,2715.75,2734.0,18.25
253,00/04-35-050-18W5/0,83870,1,4035.0,4053.0,18.0
254,00/06-21-051-18W5/0,61096,1,3588.0,3603.8,15.75
255,00/06-06-065-15W5/0,28901,1,1725.0,1741.0,16.0
256,00/06-06-065-15W5/0,28901,2,1741.0,1755.7,14.7
257,00/06-06-065-15W5/0,28901,3,2490.0,2491.3,1.3
258,00/06-06-065-15W5/0,28901,4,2491.3,2509.0,17.7
259,00/06-06-065-15W5/0,28901,5,2509.0,2515.0,6.0
260,00/11-25-062-16W5/0,27437,1,1659.0,1677.0,18.0
261,00/11-25-062-16W5/0,27437,2,1858.0,1873.4,15.4
262,00/11-25-062-16W5/0,27437,3,1873.4,1891.6,18.2
263,00/02-35-062-12W5/0,32642,1,2683.0,2701.07,18.07
264,00/02-35-062-12W5/0,32642,2,2701.07,2707.7,6.63
265,00/02-35-062-12W5/0,32642,3,2707.7,2716.5,8.8
266,00/09-29-055-18W5/0,81268,1,3606.0,3624.35,18.35
267,00/09-29-055-18W5/0,81268,2,3624.35,3642.85,18.5
268,00/09-29-055-18W5/0,81281,3,2558.3,2558.31,0.0
269,00/09-29-055-18W5/0,81281,4,2559.4,2559.41,0.0
270,00/09-29-055-18W5/0,81281,5,2567.7,2567.71,0.0
271,00/09-29-055-18W5/0,81281,6,2571.8,2571.81,0.0
272,00/09-29-055-18W5/0,81281,7,2574.7,2574.71,0.0
273,00/09-29-055-18W5/0,81281,8,2578.3,2578.31,0.0
274,00/09-29-055-18W5/0,81281,9,2580.5,2580.51,0.0
275,00/09-29-055-18W5/0,81281,10,2582.5,2582.51,0.0
276,00/09-29-055-18W5/0,81281,11,2583.3,2583.31,0.0
277,00/09-29-055-18W5/0,81281,12,2586.7,2586.71,0.0
278,00/07-05-058-18W5/0,29741,1,2397.0,2415.0,18.0
279,00/07-05-058-18W5/0,29741,2,2415.0,2433.0,18.0
280,00/07-05-058-18W5/0,32429,3,3490.0,3503.0,13.0
281,00/11-16-049-14W5/0,28055,2,2145.0,2149.5,4.5
282,00/11-01-056-18W5/0,30718,1,3623.3,3627.4,4.1
283,00/11-01-056-18W5/0,30718,2,3627.4,3643.2,15.8
284,00/05-07-056-24W5/0,30114,1,2300.0,2316.0,16.0
285,00/10-01-056-19W5/0,74262,1,2562.8,2579.8,16.15
286,00/10-01-056-19W5/0,74262,2,3686.0,3699.0,0.9
287,00/10-01-056-19W5/0,74262,3,3700.0,3705.0,4.75
288,00/10-01-056-19W5/0,74296,4,2336.0,2336.01,0.0
289,00/10-01-056-19W5/0,74296,5,2336.5,2336.51,0.0
290,00/10-01-056-19W5/0,74296,6,2364.0,2364.01,0.0
291,00/10-01-056-19W5/0,74296,7,2364.5,2364.51,0.0
292,00/10-01-056-19W5/0,74296,8,2610.0,2610.01,0.0
293,00/10-01-056-19W5/0,74296,9,2613.0,2613.01,0.0
294,00/10-01-056-19W5/0,74296,10,2616.0,2616.01,0.0
295,00/10-01-056-19W5/0,74296,11,2621.0,2621.01,0.0
296,00/10-01-056-19W5/0,74296,12,2639.5,2639.51,0.0
297,00/10-01-056-19W5/0,74296,13,2640.6,2640.61,0.0
298,00/10-01-056-19W5/0,74296,14,2720.0,2720.01,0.0
299,00/10-01-056-19W5/0,74296,15,2765.5,2765.51,0.0
300,00/14-17-055-19W5/0,22234,1,2050.08,2066.85,16.77
301,00/14-17-055-19W5/0,22234,2,2701.14,2710.89,9.75
302,00/14-17-055-19W5/0,22234,3,2796.54,2813.91,17.37
303,00/04-12-066-13W5/0,29950,1,2831.0,2849.0,18.0
304,00/04-12-066-13W5/0,29950,2,2867.0,2880.0,13.0
305,00/06-29-045-14W5/0,28434,1,3840.6,3853.85,13.25
306,00/06-29-045-14W5/0,28434,2,3853.85,3863.0,9.15
307,00/06-29-045-14W5/0,28434,3,3864.0,3868.82,4.82
308,00/06-29-045-14W5/0,28434,4,3868.82,3893.0,24.18
309,00/02-32-064-13W5/0,53465,1,2860.0,2878.2,18.2
310,00/11-22-044-16W5/0,28066,4,4726.0,4744.0,18.0
311,00/11-22-044-16W5/0,28066,5,4744.0,4751.5,7.5
312,00/11-22-044-16W5/0,28066,6,4751.5,4761.0,9.5
313,00/11-22-044-16W5/0,28066,7,4761.0,4771.0,10.0
314,00/11-22-044-16W5/0,28066,8,4771.0,4777.5,6.5
315,00/06-26-047-15W5/0,18681,1,1790.7,1808.38,17.68
316,00/03-12-045-17W5/0,30161,1,2886.0,2891.0,5.0
317,00/03-12-045-17W5/0,30161,2,2908.0,2926.0,18.0
318,00/11-14-066-13W5/0,53143,1,2879.0,2897.25,18.25
319,00/11-14-066-13W5/0,53143,2,2897.25,2915.5,17.5
320,00/11-25-047-18W5/0,32048,1,2722.0,2739.95,17.95
321,00/11-25-047-18W5/0,32048,2,2739.95,2747.6,7.65
322,00/11-25-047-18W5/0,32048,3,2747.6,2748.1,0.5
323,00/11-25-047-18W5/0,32048,4,2748.1,2752.6,4.5
324,00/11-25-047-18W5/0,32273,5,4583.4,4591.7,8.3
325,00/11-25-047-18W5/0,32273,6,4592.66,4611.0,18.34
326,00/11-25-047-18W5/0,32273,7,4611.33,4620.33,9.0
327,00/11-25-047-18W5/0,32273,8,4621.2,4639.2,18.0
328,00/10-07-047-17W5/0,29207,1,2759.0,2776.5,17.5
329,00/10-07-047-17W5/0,29207,2,2776.5,2791.5,15.0
330,00/10-07-047-17W5/0,29207,3,4643.1,4660.8,17.7
331,00/08-23-043-16W5/0,30476,1,2894.0,2909.2,15.2
332,00/08-23-043-16W5/0,31210,2,3931.0,3934.2,3.2
333,00/08-23-043-16W5/0,31210,3,3934.2,3938.88,4.68
334,00/01-09-040-12W5/0,50861,1,3296.0,3305.6,9.6
335,00/01-09-040-12W5/0,50861,2,3305.6,3323.8,18.2
336,00/04-04-036-10W5/0,84953,1,1424.0,1434.2,9.8
337,00/04-04-036-10W5/0,84953,2,1434.2,1441.8,7.25
338,00/10-27-060-27W4/0,8585,2,1917.8,1934.57,16.77
339,00/10-16-060-27W4/0,10170,1,1937.0,1955.29,18.29
340,00/10-16-060-27W4/0,10170,2,1955.29,1973.58,18.29
341,00/10-16-060-27W4/0,10170,3,1973.58,1991.87,18.29
342,00/10-12-071-21W5/0,8239,1,867.16,885.44,18.28
343,00/10-12-071-21W5/0,8240,3,2641.4,2659.68,18.28
344,00/10-12-071-21W5/0,8241,2,1274.06,1292.35,18.29
345,00/10-35-059-03W5/0,2838,2,2128.11,2146.4,18.29
346,00/16-20-054-25W4/0,5981,1,1115.57,1130.81,15.24
347,00/16-20-054-25W4/0,5981,2,1130.81,1146.05,15.24
348,00/07-06-065-04W5/0,21016,1,1972.06,1986.99,14.93
349,00/10-29-066-25W5/0,23751,1,3377.79,3391.51,13.72
350,00/15-28-067-21W5/0,53758,1,2594.15,2595.07,0.0
351,00/15-28-067-21W5/0,53758,2,2595.07,2598.42,0.0
352,00/15-28-067-21W5/0,53758,3,2996.79,2999.84,0.0
353,00/11-11-078-12W5/0,25394,1,1986.69,1995.83,9.14
354,00/11-30-069-19W5/0,22771,1,2686.51,2704.8,18.29
355,00/11-30-069-19W5/0,22771,2,2704.8,2712.42,7.62
356,00/11-09-052-26W4/0,23157,1,1895.86,1897.08,1.22
357,00/11-09-052-26W4/0,23157,2,1897.08,1915.36,18.28
358,00/06-23-072-18W5/0,26088,1,2502.41,2520.7,18.29
359,00/06-23-072-18W5/0,26088,2,2520.7,2525.88,5.18
360,00/07-29-072-22W5/0,23786,1,2427.12,2442.36,15.24
361,00/10-13-069-20W5/0,21946,3,2702.36,2718.82,16.46
362,00/10-13-069-20W5/0,21946,4,2719.43,2737.71,18.28
363,00/10-13-069-20W5/0,21946,5,2737.71,2747.77,10.06
364,00/14-29-069-19W5/0,17818,1,1454.51,1459.99,5.48
365,00/14-29-069-19W5/0,17818,2,1459.99,1467.0,7.01
366,00/02-18-057-06W5/0,2849,1,1389.28,1406.04,16.76
367,00/10-11-066-22W5/0,26736,1,1725.17,1743.46,18.29
368,00/10-11-066-22W5/0,26736,2,1743.46,1747.67,4.21
369,00/16-17-069-19W5/0,22272,1,2673.1,2681.63,8.53
370,00/16-17-069-19W5/0,22272,2,2681.63,2699.92,18.29
371,00/16-17-069-19W5/0,22272,3,2699.92,2710.59,10.67
372,00/16-17-069-19W5/0,22272,4,2710.59,2728.87,18.28
373,00/12-15-064-19W5/0,2719,1,2938.58,2955.95,17.37
374,00/12-15-064-19W5/0,2719,2,2955.95,2973.32,17.37
375,00/02-15-064-19W5/0,2721,1,2914.8,2945.19,30.39
376,00/02-15-064-19W5/0,2721,2,2945.19,2976.07,30.88
377,00/07-22-064-19W5/0,13635,2,2926.08,2948.94,22.86
378,00/07-22-064-19W5/0,13635,3,2948.94,2979.42,30.48
379,00/07-22-064-19W5/0,13635,4,3007.77,3012.34,4.57
380,00/12-34-054-07W5/0,1727,1,1548.38,1566.67,18.29
381,00/12-34-054-07W5/0,1727,2,2450.59,2468.58,17.99
382,00/12-34-054-07W5/0,1727,3,2505.46,2523.74,18.28
383,00/12-34-054-07W5/0,1727,4,2523.74,2542.03,18.29
384,00/10-34-064-19W5/0,2702,1,1391.41,1407.87,16.46
385,00/10-34-064-19W5/0,2703,3,2892.55,2915.38,22.83
386,00/10-34-064-19W5/0,2703,4,2915.38,2938.27,22.89
387,00/10-34-064-19W5/0,2703,5,2938.27,2953.51,15.24
388,00/10-02-067-21W5/0,8099,1,1707.79,1726.69,18.9
389,00/02-01-067-19W5/0,18555,1,2770.94,2807.82,36.88
390,00/07-10-058-13W5/0,23895,1,2734.06,2752.34,18.28
391,00/07-10-058-13W5/0,23895,2,2752.34,2770.63,18.29
392,02/05-20-042-17W4/0,53219,1,1663.6,1670.61,0.0
393,00/02-02-064-19W5/0,2740,1,2982.47,2995.27,12.8
394,00/04-32-066-18W5/0,52264,1,2791.36,2809.65,17.98
395,00/04-32-066-18W5/0,52264,2,2809.65,2813.3,2.59
