,01.Well Identifier,02.Formation,03.Formation Depth,04.Description,04.Quality1
76,00/07-09-076-18W5/0,5560 BELLOY FM,940.5,Top of Unit,Good Log
77,00/07-09-076-18W5/0,6120 DEBOLT FM,983.0,Top of Unit,Good Log
78,00/07-09-076-18W5/0,6400 SHUNDA FM,1130.3,Top of Unit,Good Log
79,00/07-09-076-18W5/0,6420 PEKISKO FM,1253.0,Top of Unit,Good Log
80,00/07-09-076-18W5/0,6440 BANFF FM,1306.3,Top of Unit,Good Log
81,00/07-09-076-18W5/0,6480 EXSHAW FM,1559.5,Top of Unit,Good Log
82,00/07-09-076-18W5/0,6580 WABAMUN GRP,1562.5,Top of Unit,Good Log
83,00/07-09-076-18W5/0,6700 WINTERBURN GRP,1823.0,Top of Unit,Good Log
84,00/07-09-076-18W5/0,7100 IRETON FM,1933.0,Top of Unit,Good Log
85,00/07-09-076-18W5/0,7280 DUVERNAY FM,2185.0,Top of Unit,Questionable Log
86,00/07-09-076-18W5/0,7440 BEAVERHILL LAKE GRP,2207.0,Top of Unit,Good Log
87,00/07-09-076-18W5/0,7580 SLAVE POINT FM,2286.0,Top of Unit,Good Log
88,00/07-09-076-18W5/0,7975 GRANITE WASH,2311.7,Top of Unit,Good Log
89,00/07-09-076-18W5/0,7990 PRECAMBRIAN SYSTEM,2341.0,Top of Unit,Good Log
90,00/11-04-074-21W5/0,1920 DUNVEGAN FM,463.28,Top of Unit,Good Log
91,00/11-04-074-21W5/0,1960 SHAFTESBURY FM,527.23,Top of Unit,Good Log
92,00/11-04-074-21W5/0,2060 BASE FISH SCALES MARKER,625.62,Top of Unit,Good Log
93,00/11-04-074-21W5/0,2300 PADDY MBR,698.36,Top of Unit,Good Log
94,00/11-04-074-21W5/0,2320 CADOTTE MBR,708.13,Top of Unit,Good Log
95,00/11-04-074-21W5/0,2380 HARMON MBR,718.28,Top of Unit,Good Log
96,00/11-04-074-21W5/0,2640 SPIRIT RIVER FM,741.22,Top of Unit,Good Log
97,00/11-04-074-21W5/0,3040 BLUESKY FM,1055.8,Top of Unit,Good Log
98,00/11-04-074-21W5/0,3260 GETHING FM,1059.19,Top of Unit,Good Log
99,00/11-04-074-21W5/0,4140 FERNIE GRP,1094.23,Top of Unit,Good Log
100,00/11-04-074-21W5/0,4440 NORDEGG MBR,1149.36,Top of Unit,Good Log
101,00/11-04-074-21W5/0,5240 MONTNEY FM,1176.42,Top of Unit,Good Log
102,00/11-04-074-21W5/0,5560 BELLOY FM,1235.23,Top of Unit,Good Log
103,00/07-19-061-01W5/0,1400 LEA PARK FM,265.2,Top of Unit,Good Log
104,00/07-19-061-01W5/0,1600 COLORADO GRP,411.0,Top of Unit,Good Log
105,00/07-19-061-01W5/0,1860 SECOND WHITE SPECKS,574.0,Top of Unit,Good Log
106,00/07-19-061-01W5/0,2060 BASE FISH SCALES MARKER,695.0,Top of Unit,Good Log
107,00/07-19-061-01W5/0,2140 VIKING FM,735.0,Top of Unit,Good Log
108,00/07-19-061-01W5/0,2180 VIKING SANDSTONE,739.8,Top of Unit,Good Log
109,00/07-19-061-01W5/0,2360 JOLI FOU FM,764.9,Top of Unit,Good Log
110,00/07-19-061-01W5/0,2480 MANNVILLE GRP,774.5,Top of Unit,Good Log
111,00/07-19-061-01W5/0,3000 GLAUCONITIC SS,937.5,Top of Unit,Good Log
112,00/07-19-061-01W5/0,3120 OSTRACOD MEMBER,944.0,Top of Unit,Good Log
113,00/07-19-061-01W5/0,3360 ELLERSLIE MBR,967.0,Top of Unit,Good Log
114,00/07-19-061-01W5/0,6580 WABAMUN GRP,1027.0,Top of Unit,Good Log
115,00/07-19-061-01W5/0,6700 WINTERBURN GRP,1186.5,Top of Unit,Good Log
116,00/07-19-061-01W5/0,7100 IRETON FM,1272.5,Top of Unit,Good Log
117,00/07-19-061-01W5/0,7280 DUVERNAY FM,1503.0,Top of Unit,Good Log
118,00/07-19-061-01W5/0,7440 BEAVERHILL LAKE GRP,1643.5,Top of Unit,Good Log
119,00/07-19-061-01W5/0,7645 WATT MTN FM,1846.5,Top of Unit,Good Log
120,00/07-19-061-01W5/0,7857 CAMBRIAN SYSTEM,1869.0,Top of Unit,Good Log
121,00/15-32-080-09W5/0,2280 PEACE RIVER FM,284.2,Top of Unit,Good Log
122,00/15-32-080-09W5/0,2380 HARMON MBR,303.5,Top of Unit,Good Log
123,00/15-32-080-09W5/0,2640 SPIRIT RIVER FM,306.5,Top of Unit,Good Log
124,00/15-32-080-09W5/0,6420 PEKISKO FM,541.0,Top of Unit,Good Log
125,00/15-32-080-09W5/0,6440 BANFF FM,571.6,Top of Unit,Good Log
126,00/15-32-080-09W5/0,6480 EXSHAW FM,846.0,Top of Unit,Good Log
127,00/15-32-080-09W5/0,6580 WABAMUN GRP,847.6,Top of Unit,Good Log
128,00/15-32-080-09W5/0,6700 WINTERBURN GRP,1125.0,Top of Unit,Good Log
129,00/15-32-080-09W5/0,7100 IRETON FM,1244.8,Top of Unit,Good Log
130,00/15-32-080-09W5/0,7440 BEAVERHILL LAKE GRP,1540.0,Top of Unit,Good Log
131,00/15-32-080-09W5/0,7580 SLAVE POINT FM,1658.3,Top of Unit,Good Log
132,00/15-32-080-09W5/0,7601 FORT VERMILION MBR,1674.5,Top of Unit,Good Log
133,00/15-32-080-09W5/0,7645 WATT MTN FM,1689.0,Top of Unit,Good Log
134,00/15-32-080-09W5/0,7655 GILWOOD MBR,1690.0,Top of Unit,Good Log
135,00/15-32-080-09W5/0,7685 MUSKEG FM,1694.4,Top of Unit,Good Log
136,00/15-32-080-09W5/0,7735 KEG RIVER SS,1730.7,Top of Unit,Good Log
137,00/15-32-080-09W5/0,7990 PRECAMBRIAN SYSTEM,1741.0,Top of Unit,Good Log
138,00/10-21-070-26W5/0,1600 COLORADO GRP,453.5,Top of Unit,Good Log
139,00/10-21-070-26W5/0,1660 BADHEART FM,517.0,Top of Unit,Good Log
140,00/10-21-070-26W5/0,1680 MUSKIKI FM,528.0,Top of Unit,Good Log
141,00/10-21-070-26W5/0,1700 CARDIUM FM,571.0,Top of Unit,Good Log
142,00/10-21-070-26W5/0,1760 CARDIUM SD,591.5,Top of Unit,Good Log
143,00/10-21-070-26W5/0,1800 BLACKSTONE FM,605.0,Top of Unit,Good Log
144,00/10-21-070-26W5/0,1920 DUNVEGAN FM,808.3,Top of Unit,Good Log
145,00/10-21-070-26W5/0,1960 SHAFTESBURY FM,930.0,Top of Unit,Good Log
146,00/10-21-070-26W5/0,2060 BASE FISH SCALES MARKER,991.0,Top of Unit,Good Log
147,00/10-21-070-26W5/0,2300 PADDY MBR,1084.0,Top of Unit,Good Log
148,00/10-21-070-26W5/0,2320 CADOTTE MBR,1092.5,Top of Unit,Good Log
149,00/10-21-070-26W5/0,2380 HARMON MBR,1112.0,Top of Unit,Good Log
150,00/10-21-070-26W5/0,2640 SPIRIT RIVER FM,1133.5,Top of Unit,Good Log
151,00/10-21-070-26W5/0,3260 GETHING FM,1428.0,Top of Unit,Good Log
152,00/10-21-070-26W5/0,3480 CADOMIN FM,1566.0,Top of Unit,Questionable Log
153,00/10-21-070-26W5/0,4140 FERNIE GRP,1572.5,Top of Unit,Good Log
154,00/10-21-070-26W5/0,4440 NORDEGG MBR,1598.5,Top of Unit,Good Log
155,00/10-21-070-26W5/0,5240 MONTNEY FM,1627.0,Top of Unit,Good Log
156,00/10-21-070-26W5/0,5560 BELLOY FM,1820.0,Top of Unit,Good Log
157,00/10-21-070-26W5/0,6120 DEBOLT FM,1864.0,Top of Unit,Good Log
158,00/10-21-070-26W5/0,6380 ELKTON MBR,2089.3,Top of Unit,Good Log
159,00/10-21-070-26W5/0,6400 SHUNDA FM,2100.0,Top of Unit,Good Log
160,00/10-21-070-26W5/0,6420 PEKISKO FM,2185.5,Top of Unit,Good Log
161,00/10-21-070-26W5/0,6440 BANFF FM,2243.0,Top of Unit,Good Log
162,00/10-21-070-26W5/0,6480 EXSHAW FM,2469.3,Top of Unit,Good Log
163,00/10-21-070-26W5/0,6580 WABAMUN GRP,2472.7,Top of Unit,Good Log
164,00/10-21-070-26W5/0,6700 WINTERBURN GRP,2723.0,Top of Unit,Good Log
165,00/10-21-070-26W5/0,7040 WOODBEND GRP,2778.0,Top of Unit,Good Log
166,00/10-21-070-26W5/0,7280 DUVERNAY FM,3075.0,Top of Unit,Good Log
167,00/10-21-070-26W5/0,7440 BEAVERHILL LAKE GRP,3092.5,Top of Unit,Good Log
168,00/10-21-070-26W5/0,7580 SLAVE POINT FM,3151.3,Top of Unit,Good Log
169,00/10-21-070-26W5/0,7635 ELK POINT GRP,3165.0,Top of Unit,Good Log
170,00/10-21-070-26W5/0,7857 CAMBRIAN SYSTEM,3168.5,Top of Unit,Good Log
171,00/09-33-080-09W5/0,6420 PEKISKO FM,540.0,Top of Unit,Good Log
172,00/09-33-080-09W5/0,6440 BANFF FM,561.5,Top of Unit,Good Log
173,00/09-33-080-09W5/0,6480 EXSHAW FM,832.0,Top of Unit,Good Log
174,00/09-33-080-09W5/0,6580 WABAMUN GRP,840.2,Top of Unit,Good Log
175,00/09-33-080-09W5/0,6700 WINTERBURN GRP,1120.0,Top of Unit,Good Log
176,00/09-33-080-09W5/0,7100 IRETON FM,1244.0,Top of Unit,Good Log
177,00/09-33-080-09W5/0,7440 BEAVERHILL LAKE GRP,1542.5,Top of Unit,Good Log
178,00/09-33-080-09W5/0,7580 SLAVE POINT FM,1666.5,Top of Unit,Good Log
179,00/09-33-080-09W5/0,7601 FORT VERMILION MBR,1680.5,Top of Unit,Good Log
180,00/09-33-080-09W5/0,7645 WATT MTN FM,1695.0,Top of Unit,Good Log
181,00/09-33-080-09W5/0,7655 GILWOOD MBR,1696.0,Top of Unit,Good Log
182,00/09-33-080-09W5/0,7685 MUSKEG FM,1703.0,Top of Unit,Good Log
183,00/09-33-080-09W5/0,7721 KEG RIVER FM,1752.0,Top of Unit,Good Log
184,00/09-33-080-09W5/0,7735 KEG RIVER SS,1755.0,Top of Unit,Good Log
185,00/09-33-080-09W5/0,7975 GRANITE WASH,1789.0,Top of Unit,Good Log
186,00/09-33-080-09W5/0,7990 PRECAMBRIAN SYSTEM,1793.0,Top of Unit,Good Log
187,00/01-06-081-09W5/0,2060 BASE FISH SCALES MARKER,255.2,Top of Unit,Good Log
188,00/01-06-081-09W5/0,2280 PEACE RIVER FM,303.5,Top of Unit,Good Log
189,00/01-06-081-09W5/0,2640 SPIRIT RIVER FM,330.0,Top of Unit,Good Log
190,00/01-06-081-09W5/0,6440 BANFF FM,543.5,Top of Unit,Good Log
191,00/01-06-081-09W5/0,6480 EXSHAW FM,844.0,Top of Unit,Good Log
192,00/01-06-081-09W5/0,6580 WABAMUN GRP,852.0,Top of Unit,Good Log
193,00/01-06-081-09W5/0,6700 WINTERBURN GRP,1105.0,Top of Unit,Good Log
194,00/01-06-081-09W5/0,7100 IRETON FM,1250.0,Top of Unit,Good Log
195,00/01-06-081-09W5/0,7440 BEAVERHILL LAKE GRP,1409.5,Top of Unit,Good Log
196,00/01-06-081-09W5/0,7580 SLAVE POINT FM,1655.5,Top of Unit,Good Log
197,00/01-06-081-09W5/0,7601 FORT VERMILION MBR,1673.0,Top of Unit,Good Log
198,00/01-06-081-09W5/0,7645 WATT MTN FM,1685.5,Top of Unit,Good Log
199,00/01-06-081-09W5/0,7655 GILWOOD MBR,1688.2,Top of Unit,Good Log
200,00/01-06-081-09W5/0,7685 MUSKEG FM,1693.0,Top of Unit,Good Log
201,00/01-06-081-09W5/0,7721 KEG RIVER FM,1712.0,Top of Unit,Good Log
202,00/01-06-081-09W5/0,7735 KEG RIVER SS,1717.0,Top of Unit,Good Log
203,00/01-06-081-09W5/0,7990 PRECAMBRIAN SYSTEM,1724.0,Top of Unit,Good Log
204,00/10-14-081-09W5/0,2060 BASE FISH SCALES MARKER,245.4,Top of Unit,Good Log
205,00/10-14-081-09W5/0,2280 PEACE RIVER FM,301.1,Top of Unit,Good Log
206,00/10-14-081-09W5/0,2640 SPIRIT RIVER FM,336.5,Top of Unit,Good Log
207,00/10-14-081-09W5/0,6420 PEKISKO FM,524.0,Top of Unit,Good Log
208,00/10-14-081-09W5/0,6440 BANFF FM,532.8,Top of Unit,Good Log
209,00/10-14-081-09W5/0,6580 WABAMUN GRP,811.7,Top of Unit,Good Log
210,00/10-14-081-09W5/0,6700 WINTERBURN GRP,1091.8,Top of Unit,Good Log
211,00/10-14-081-09W5/0,7040 WOODBEND GRP,1207.6,Top of Unit,Good Log
212,00/10-14-081-09W5/0,7440 BEAVERHILL LAKE GRP,1515.5,Top of Unit,Good Log
213,00/10-14-081-09W5/0,7580 SLAVE POINT FM,1649.9,Top of Unit,Good Log
214,00/10-14-081-09W5/0,7601 FORT VERMILION MBR,1663.0,Top of Unit,Good Log
215,00/10-14-081-09W5/0,7645 WATT MTN FM,1677.6,Top of Unit,Good Log
216,00/10-14-081-09W5/0,7685 MUSKEG FM,1684.0,Top of Unit,Good Log
217,00/10-14-081-09W5/0,7735 KEG RIVER SS,1744.1,Top of Unit,Good Log
218,00/10-14-081-09W5/0,7990 PRECAMBRIAN SYSTEM,1777.6,Top of Unit,Good Log
219,00/05-34-080-09W5/0,2060 BASE FISH SCALES MARKER,257.5,Top of Unit,Good Log
220,00/05-34-080-09W5/0,2280 PEACE RIVER FM,305.0,Top of Unit,Good Log
221,00/05-34-080-09W5/0,2380 HARMON MBR,332.5,Top of Unit,Good Log
222,00/05-34-080-09W5/0,2640 SPIRIT RIVER FM,338.0,Top of Unit,Good Log
223,00/05-34-080-09W5/0,6420 PEKISKO FM,539.0,Top of Unit,Good Log
224,00/05-34-080-09W5/0,6440 BANFF FM,566.6,Top of Unit,Good Log
225,00/05-34-080-09W5/0,6480 EXSHAW FM,834.6,Top of Unit,Good Log
226,00/05-34-080-09W5/0,6580 WABAMUN GRP,836.6,Top of Unit,Good Log
227,00/05-34-080-09W5/0,6700 WINTERBURN GRP,1117.0,Top of Unit,Good Log
228,00/05-34-080-09W5/0,7040 WOODBEND GRP,1241.2,Top of Unit,Good Log
229,00/05-34-080-09W5/0,7440 BEAVERHILL LAKE GRP,1537.3,Top of Unit,Good Log
230,00/05-34-080-09W5/0,7580 SLAVE POINT FM,1666.5,Top of Unit,Good Log
231,00/05-34-080-09W5/0,7601 FORT VERMILION MBR,1681.3,Top of Unit,Good Log
232,00/05-34-080-09W5/0,7645 WATT MTN FM,1693.0,Top of Unit,Good Log
233,00/05-34-080-09W5/0,7655 GILWOOD MBR,1695.0,Top of Unit,Good Log
234,00/05-34-080-09W5/0,7685 MUSKEG FM,1702.0,Top of Unit,Good Log
235,00/05-34-080-09W5/0,7721 KEG RIVER FM,1748.2,Top of Unit,Good Log
236,00/05-34-080-09W5/0,7735 KEG RIVER SS,1756.6,Top of Unit,Good Log
237,00/05-34-080-09W5/0,7750 WINNIPEGOSIS FM,1771.5,Top of Unit,Good Log
238,00/05-34-080-09W5/0,7990 PRECAMBRIAN SYSTEM,1786.0,Top of Unit,Good Log
239,00/04-09-079-10W5/0,2060 BASE FISH SCALES MARKER,283.0,Top of Unit,Good Log
240,00/04-09-079-10W5/0,6400 SHUNDA FM,597.0,Top of Unit,Good Log
241,00/04-09-079-10W5/0,6420 PEKISKO FM,676.0,Top of Unit,Good Log
242,00/04-09-079-10W5/0,6440 BANFF FM,703.0,Top of Unit,Good Log
243,00/04-09-079-10W5/0,6480 EXSHAW FM,960.0,Top of Unit,Good Log
244,00/04-09-079-10W5/0,6580 WABAMUN GRP,963.5,Top of Unit,Good Log
245,00/04-09-079-10W5/0,6780 GRAMINIA FM,1241.0,Top of Unit,Good Log
246,00/04-09-079-10W5/0,6800 BLUERIDGE MBR,1246.5,Top of Unit,Good Log
247,00/04-09-079-10W5/0,6860 CALMAR FM,1284.0,Top of Unit,Good Log
248,00/04-09-079-10W5/0,6960 NISKU FM,1287.0,Top of Unit,Good Log
249,00/04-09-079-10W5/0,7100 IRETON FM,1364.0,Top of Unit,Good Log
250,00/04-09-079-10W5/0,7280 DUVERNAY FM,1558.0,Top of Unit,Good Log
251,00/04-09-079-10W5/0,7440 BEAVERHILL LAKE GRP,1650.5,Top of Unit,Good Log
252,00/04-09-079-10W5/0,7580 SLAVE POINT FM,1765.0,Top of Unit,Good Log
253,00/04-09-079-10W5/0,7601 FORT VERMILION MBR,1783.6,Top of Unit,Good Log
254,00/04-09-079-10W5/0,7645 WATT MTN FM,1791.0,Top of Unit,Good Log
255,00/04-09-079-10W5/0,7655 GILWOOD MBR,1793.0,Top of Unit,Good Log
256,00/04-09-079-10W5/0,7685 MUSKEG FM,1796.0,Top of Unit,Good Log
257,00/04-09-079-10W5/0,7975 GRANITE WASH,1822.0,Top of Unit,Good Log
258,00/04-09-079-10W5/0,7990 PRECAMBRIAN SYSTEM,1837.0,Top of Unit,Good Log
259,00/04-17-080-09W5/0,2060 BASE FISH SCALES MARKER,259.1,Top of Unit,Good Log
260,00/04-17-080-09W5/0,2140 VIKING FM,305.4,Top of Unit,Questionable Log
261,00/04-17-080-09W5/0,2480 MANNVILLE GRP,332.8,Top of Unit,Good Log
262,00/04-17-080-09W5/0,6420 PEKISKO FM,574.2,Top of Unit,Good Log
263,00/04-17-080-09W5/0,6440 BANFF FM,601.4,Top of Unit,Good Log
264,00/04-17-080-09W5/0,6580 WABAMUN GRP,874.2,Top of Unit,Good Log
265,00/04-17-080-09W5/0,6700 WINTERBURN GRP,1145.4,Top of Unit,Good Log
266,00/04-17-080-09W5/0,6860 CALMAR FM,1191.8,Top of Unit,Good Log
267,00/04-17-080-09W5/0,6960 NISKU FM,1193.9,Top of Unit,Good Log
268,00/04-17-080-09W5/0,7040 WOODBEND GRP,1256.1,Top of Unit,Good Log
269,00/04-17-080-09W5/0,7440 BEAVERHILL LAKE GRP,1591.7,Top of Unit,Good Log
270,00/04-17-080-09W5/0,7580 SLAVE POINT FM,1716.0,Top of Unit,Good Log
271,00/04-17-080-09W5/0,7601 FORT VERMILION MBR,1733.4,Top of Unit,Good Log
272,00/04-17-080-09W5/0,7645 WATT MTN FM,1745.9,Top of Unit,Good Log
273,00/04-17-080-09W5/0,7655 GILWOOD MBR,1750.5,Top of Unit,Questionable Log
274,00/04-17-080-09W5/0,7685 MUSKEG FM,1754.7,Top of Unit,Good Log
275,00/04-28-081-08W5/0,2060 BASE FISH SCALES MARKER,257.6,Top of Unit,Good Log
276,00/04-28-081-08W5/0,2280 PEACE RIVER FM,304.2,Top of Unit,Good Log
277,00/04-28-081-08W5/0,2640 SPIRIT RIVER FM,344.7,Top of Unit,Good Log
278,00/04-28-081-08W5/0,6440 BANFF FM,541.9,Top of Unit,Good Log
279,00/04-28-081-08W5/0,6480 EXSHAW FM,769.6,Top of Unit,Good Log
280,00/04-28-081-08W5/0,6580 WABAMUN GRP,771.1,Top of Unit,Good Log
281,00/04-28-081-08W5/0,6700 WINTERBURN GRP,1051.0,Top of Unit,Good Log
282,00/04-28-081-08W5/0,6860 CALMAR FM,1086.0,Top of Unit,Good Log
283,00/04-28-081-08W5/0,6960 NISKU FM,1087.2,Top of Unit,Good Log
284,00/04-28-081-08W5/0,7100 IRETON FM,1164.9,Top of Unit,Good Log
285,00/04-28-081-08W5/0,7440 BEAVERHILL LAKE GRP,1484.7,Top of Unit,Good Log
286,00/04-28-081-08W5/0,7580 SLAVE POINT FM,1630.7,Top of Unit,Good Log
287,00/04-28-081-08W5/0,7601 FORT VERMILION MBR,1642.3,Top of Unit,Good Log
288,00/04-28-081-08W5/0,7645 WATT MTN FM,1657.8,Top of Unit,Good Log
289,00/04-28-081-08W5/0,7655 GILWOOD MBR,1662.7,Top of Unit,Good Log
290,00/04-28-081-08W5/0,7685 MUSKEG FM,1674.6,Top of Unit,Good Log
291,00/04-28-081-08W5/0,7721 KEG RIVER FM,1735.8,Top of Unit,Good Log
292,00/04-28-081-08W5/0,7735 KEG RIVER SS,1747.1,Top of Unit,Good Log
293,00/04-28-081-08W5/0,7975 GRANITE WASH,1778.2,Top of Unit,Good Log
294,00/04-28-081-08W5/0,7990 PRECAMBRIAN SYSTEM,1801.4,Top of Unit,Good Log
295,00/06-14-080-09W5/0,2060 BASE FISH SCALES MARKER,275.5,Top of Unit,Good Log
296,00/06-14-080-09W5/0,2180 VIKING SANDSTONE,319.0,Top of Unit,Good Log
297,00/06-14-080-09W5/0,2480 MANNVILLE GRP,347.7,Top of Unit,Good Log
298,00/06-14-080-09W5/0,6420 PEKISKO FM,554.8,Top of Unit,Good Log
299,00/06-14-080-09W5/0,6440 BANFF FM,587.5,Top of Unit,Good Log
300,00/06-14-080-09W5/0,6480 EXSHAW FM,850.5,Top of Unit,Good Log
301,00/06-14-080-09W5/0,6580 WABAMUN GRP,851.5,Top of Unit,Good Log
