,Formatted UWI,Gas Sample Date,Intrvl Base,Intrvl Top,Res Fluid C1c,Res Fluid C2c,Res Fluid C3c,Res Fluid C6c,Res Fluid C7+c,Res Fluid CO2c,Res Fluid H2c,Res Fluid H2Sc,Res Fluid HEc,Res Fluid IC4c,Res Fluid IC5c,Res Fluid N2c,Res Fluid NC4c,Res Fluid NC5c
21,00/10-30-080-09W5/0,1/14/1992 00:00:00,1701.0,1691.0,69.38,11.82,5.43,0.08,0.07,0.05,0.21,0.0,0.11,0.55,0.2,10.8,1.1,0.2
22,00/09-25-081-09W5/0,1/31/1993 00:00:00,1730.0,1725.5,59.13,5.17,2.73,0.06,0.04,0.01,0.02,0.0,1.17,0.27,0.1,30.63,0.58,0.09
23,00/14-03-070-21W5/0,2/27/1984 00:00:00,1322.0,1309.0,96.53,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,0.0,0.0
24,00/14-03-070-21W5/0,2/28/1984 00:00:00,1428.5,1412.0,80.56,6.66,1.53,0.08,0.05,0.58,0.0,0.0,0.0,0.13,0.09,9.77,0.42,0.13
25,00/02-20-081-08W5/0,7/23/1987 00:00:00,1673.0,1653.0,56.3,15.99,9.19,0.34,0.65,0.06,0.0,0.0,0.08,1.14,0.53,12.69,2.49,0.54
26,00/02-20-081-08W5/0,7/22/1987 00:00:00,1673.0,1655.0,61.06,9.97,5.17,0.23,0.35,0.24,0.01,0.0,0.32,0.66,0.34,19.84,1.46,0.35
27,00/02-20-081-08W5/0,7/21/1987 00:00:00,1747.0,1734.0,52.37,6.21,3.56,0.08,0.13,0.0,0.01,0.0,0.57,0.36,0.14,35.66,0.77,0.14
28,00/02-20-081-08W5/0,7/23/1987 00:00:00,1673.0,1653.0,60.8,7.6,3.11,0.08,0.06,0.02,0.03,0.0,0.34,0.33,0.14,26.67,0.68,0.14
29,00/06-30-080-09W5/0,6/11/1985 00:00:00,1722.0,1720.0,57.34,17.19,10.93,0.16,0.09,0.08,0.0,0.0,0.11,1.23,0.41,9.54,2.52,0.4
30,00/06-30-080-09W5/0,3/24/1985 00:00:00,1727.0,1715.0,53.47,18.5,13.01,0.2,0.1,0.1,0.0,0.0,0.18,1.67,0.76,7.36,3.83,0.82
31,00/02-20-079-07W5/0,3/10/1981 00:00:00,589.0,566.0,98.91,0.02,0.01,0.01,0.01,0.05,0.0,0.0,0.49,0.01,0.0,0.49,0.0,0.0
32,00/04-21-081-08W5/0,7/20/1967 00:00:00,1758.7,1738.88,41.04,9.44,9.35,0.61,0.67,0.16,0.0,0.0,0.26,1.36,0.81,31.98,3.42,0.9
33,00/10-08-080-07W5/0,3/3/1988 00:00:00,1690.0,1672.0,50.31,18.3,13.94,0.68,0.55,0.14,0.0,0.0,0.01,2.19,1.18,6.7,4.9,1.1
34,00/10-08-080-07W5/0,5/19/2000 00:00:00,1680.0,1677.5,47.72,18.62,16.19,0.56,0.39,0.09,0.01,,0.03,2.38,1.06,6.5,5.36,1.09
35,00/12-30-078-07W5/0,12/16/1984 00:00:00,1724.0,1718.0,65.75,7.02,3.26,0.11,0.07,0.0,0.0,0.0,0.0,0.4,0.17,22.07,0.83,0.32
36,00/04-14-078-08W5/0,9/23/2004 00:00:00,1745.0,1741.3,59.67,19.63,8.09,0.13,0.24,0.65,0.0,0.0,0.11,0.87,0.27,8.41,1.66,0.27
37,00/15-25-077-08W5/0,2/13/2020 00:00:00,1778.0,1769.0,52.2,25.68,10.45,0.3,0.35,0.34,0.01,0.0,0.04,1.34,0.49,5.59,2.71,0.51
38,00/15-25-077-08W5/0,7/26/2018 00:00:00,1778.0,1769.0,56.56,17.94,12.53,0.25,0.27,0.26,0.01,0.0,0.05,1.42,0.45,7.33,2.47,0.46
39,00/15-25-077-08W5/0,4/21/2018 00:00:00,1778.0,1769.0,58.82,18.64,9.33,0.21,0.21,0.26,0.01,0.0,0.06,1.11,0.38,8.38,2.23,0.37
40,00/06-14-048-14W4/0,3/3/1988 00:00:00,740.0,737.0,92.76,2.8,0.93,0.04,0.01,0.03,0.0,0.0,0.04,0.18,0.06,2.89,0.21,0.05
41,00/14-20-068-25W5/0,4/7/1999 00:00:00,1640.0,1637.0,89.79,4.77,1.27,,0.06,3.51,,,0.01,0.25,0.08,0.05,0.16,0.05
42,00/14-20-068-25W5/0,12/23/1994 00:00:00,1675.5,1670.0,91.01,5.27,0.27,0.05,0.09,2.74,,,0.01,0.26,0.04,0.22,0.03,0.01
43,00/14-20-068-25W5/0,9/6/1985 00:00:00,1661.71,1631.0,86.09,6.86,2.99,0.18,0.1,0.52,0.0,0.0,0.0,0.49,0.2,1.71,0.69,0.17
44,00/14-20-068-25W5/0,9/27/1985 00:00:00,3299.0,3284.0,59.11,15.73,11.45,0.43,0.34,0.06,0.05,0.0,0.1,1.21,0.67,6.98,3.26,0.61
45,00/06-17-068-04W6/0,8/8/1966 00:00:00,3310.1,3286.4,56.56,5.78,5.24,0.76,0.6,4.89,,18.26,,2.71,1.15,,3.08,0.97
46,00/06-17-068-04W6/0,8/10/1966 00:00:00,3310.1,3286.4,55.01,5.89,5.19,0.73,0.49,5.06,,18.85,,1.8,1.22,1.54,3.17,1.05
47,00/06-17-068-04W6/0,8/1/1966 00:00:00,3310.1,3286.4,76.67,2.59,1.37,0.6,2.72,3.83,,6.72,,0.44,0.39,3.5,0.8,0.37
48,00/06-17-068-04W6/0,8/10/1966 00:00:00,3310.1,3286.4,80.05,2.62,1.29,0.17,0.14,3.95,,6.63,,0.37,0.25,3.67,0.64,0.22
49,00/06-17-068-04W6/0,8/8/1966 00:00:00,3310.1,3286.4,76.41,2.4,1.33,0.66,2.71,3.74,,6.7,,0.44,0.41,4.04,0.79,0.37
50,00/06-17-068-04W6/0,6/27/1966 00:00:00,3335.1,3333.6,74.68,2.63,1.43,0.96,3.33,3.78,,6.85,,0.48,0.42,4.15,0.88,0.41
51,00/06-17-068-04W6/0,8/8/1966 00:00:00,3310.1,3286.4,79.97,2.4,1.25,0.17,,3.85,,6.61,,0.38,0.27,4.25,0.63,0.22
52,00/06-17-068-04W6/0,7/11/1966 00:00:00,3335.1,3333.6,74.5,2.67,1.45,0.74,2.91,3.73,,7.19,,0.46,0.42,4.68,0.86,0.39
53,00/06-17-068-04W6/0,7/9/1965 00:00:00,3335.1,3333.6,75.47,2.61,1.38,0.65,3.7,3.85,,5.78,,0.41,0.36,4.74,0.71,0.34
54,00/06-17-068-04W6/0,7/3/1965 00:00:00,3352.8,3349.8,79.3,2.74,1.3,0.14,0.05,3.91,,6.33,,0.35,0.21,4.91,0.58,0.18
55,00/06-17-068-04W6/0,7/9/1965 00:00:00,3335.1,3333.6,79.71,2.65,1.29,0.1,0.06,4.03,,5.93,,0.33,0.18,5.03,0.53,0.16
56,00/06-17-068-04W6/0,7/13/1965 00:00:00,3335.1,3333.6,59.45,5.75,4.66,0.29,0.11,4.58,,14.89,,1.36,0.69,5.29,2.36,0.57
57,00/09-23-042-14W4/0,5/23/1983 00:00:00,821.64,776.64,89.92,2.2,0.79,0.09,0.02,0.06,0.0,0.0,0.1,0.17,0.11,6.15,0.28,0.11
58,00/09-23-042-14W4/0,11/29/2001 00:00:00,784.5,781.0,89.84,2.46,0.85,0.06,0.02,0.09,0.01,,0.09,0.17,0.1,5.95,0.27,0.09
59,00/09-23-042-14W4/0,1/8/1988 00:00:00,918.5,917.5,85.4,4.08,1.1,0.02,0.03,2.15,0.02,0.1,0.12,0.35,0.06,6.29,0.25,0.03
60,00/06-11-069-26W5/0,8/22/1983 00:00:00,3228.0,3212.0,67.08,14.51,7.53,0.26,0.26,0.0,0.06,0.0,0.27,0.83,0.49,5.81,2.45,0.45
61,00/06-11-069-26W5/0,8/22/1983 00:00:00,3228.0,3212.0,76.39,10.85,3.78,0.09,0.22,0.03,0.18,0.0,0.4,0.31,0.14,6.72,0.76,0.13
62,00/06-11-069-26W5/0,8/21/1983 00:00:00,3344.0,3310.0,63.06,1.26,0.13,0.02,0.19,0.03,0.7,0.0,3.49,0.01,0.0,31.09,0.01,0.01
63,00/16-14-068-21W5/0,9/2/1985 00:00:00,2934.0,2926.0,8.47,18.52,39.18,1.36,0.51,0.64,0.01,0.0,0.05,6.08,2.39,7.6,12.99,2.2
64,00/06-35-046-15W4/0,6/13/1983 00:00:00,770.0,745.0,91.21,2.51,0.62,0.03,0.04,0.0,0.01,0.0,0.1,0.13,0.06,5.12,0.14,0.03
65,00/10-33-065-20W5/0,3/18/1979 00:00:00,1346.5,1344.0,90.1,0.03,0.03,0.01,0.02,0.8,0.0,0.0,0.02,0.02,0.02,8.9,0.03,0.02
66,00/10-33-065-20W5/0,2/1/1992 00:00:00,1346.3,1345.0,92.02,2.3,1.19,0.21,0.43,0.21,0.03,,0.06,0.34,0.24,2.4,0.4,0.17
67,00/10-33-065-20W5/0,3/1/1992 00:00:00,1346.3,1345.0,92.02,2.3,1.19,0.21,0.43,0.21,0.03,0.0,0.06,0.34,0.24,2.4,0.4,0.17
68,00/10-33-065-20W5/0,1/29/2001 00:00:00,1346.5,1344.0,92.36,2.58,1.34,0.18,0.09,0.24,0.07,,0.06,0.42,0.25,1.84,0.4,0.17
69,00/02-20-051-23W4/0,12/29/1981 00:00:00,1264.5,1262.5,75.06,10.34,5.5,0.21,0.13,2.38,0.0,0.0,0.03,0.68,0.43,3.01,1.86,0.37
70,00/02-20-051-23W4/0,2/28/2013 00:00:00,1264.1,1244.0,75.27,9.21,5.23,0.27,0.25,2.53,0.01,0.43,0.03,0.62,0.46,3.49,1.81,0.4
71,00/02-20-051-23W4/0,6/24/2013 00:00:00,1264.5,1244.0,74.71,8.99,5.36,0.37,0.27,2.44,0.01,0.46,0.03,0.69,0.56,3.61,2.01,0.5
72,00/02-20-051-23W4/0,3/25/1980 00:00:00,1266.0,1236.0,76.98,8.7,3.91,0.33,0.5,0.0,1.62,0.0,0.01,0.49,0.3,5.7,1.14,0.32
73,00/04-12-069-26W5/0,2/26/1982 00:00:00,3282.0,3264.0,76.92,10.93,3.48,0.0,0.0,0.54,0.03,0.0,0.33,0.23,0.07,6.88,0.52,0.07
74,00/02-23-066-25W5/0,7/27/2015 00:00:00,3386.3,3379.6,66.13,16.08,8.68,0.13,0.14,1.64,0.01,0.01,0.3,0.73,0.27,3.83,1.81,0.26
75,00/02-23-066-25W5/0,7/13/2013 00:00:00,3386.3,3379.6,68.84,15.35,7.34,0.09,0.09,1.65,0.01,0.0,0.32,0.57,0.2,3.97,1.38,0.2
76,00/10-23-065-20W5/0,1/28/1986 00:00:00,1398.0,1395.5,91.64,3.09,1.57,0.05,0.7,0.08,,,,0.34,0.17,1.84,0.39,0.13
77,00/10-23-065-20W5/0,3/18/1979 00:00:00,1398.0,1395.5,91.87,3.21,1.56,0.1,0.19,0.16,,,0.05,0.33,0.15,1.88,0.39,0.11
78,00/10-23-065-20W5/0,11/12/1991 00:00:00,1398.0,1395.5,92.25,3.02,1.6,0.1,0.13,0.18,0.0,0.0,0.05,0.31,0.15,1.73,0.37,0.11
79,00/10-23-065-20W5/0,1/20/2001 00:00:00,1398.0,1395.5,91.06,3.26,1.87,0.07,0.08,0.73,0.02,,0.06,0.42,0.14,1.78,0.42,0.09
80,00/05-22-066-25W5/0,5/16/2001 00:00:00,2024.0,2022.0,76.18,10.45,6.42,0.32,0.23,1.74,0.01,,0.02,0.77,0.44,0.48,2.29,0.65
81,00/05-22-066-25W5/0,8/27/1983 00:00:00,1577.0,1565.0,93.15,1.61,0.21,0.01,0.14,0.0,0.18,0.0,0.04,0.03,0.01,4.59,0.02,0.01
82,00/10-32-063-21W5/0,2/25/1984 00:00:00,1641.6,1637.8,89.2,6.27,1.44,0.13,0.35,1.75,,,,0.25,0.12,0.11,0.29,0.09
83,00/10-32-063-21W5/0,9/9/1983 00:00:00,1917.5,1908.0,89.0,6.29,1.47,0.11,0.34,1.75,,,,0.26,0.14,0.21,0.3,0.13
84,00/10-32-063-21W5/0,8/1/1983 00:00:00,1911.2,11.1,87.61,7.1,1.55,0.17,0.67,1.62,,,0.11,0.28,0.13,0.26,0.35,0.15
85,00/14-23-067-24W5/0,4/23/1984 00:00:00,3187.0,3165.0,68.6,13.29,6.35,0.25,0.19,0.06,0.0,0.0,0.34,0.58,0.38,7.88,1.68,0.4
86,00/14-23-067-24W5/0,6/22/1984 00:00:00,3177.0,3165.5,59.17,18.48,11.33,0.25,0.1,0.78,0.0,0.0,0.76,0.96,0.52,4.48,2.69,0.47
87,00/14-23-067-24W5/0,4/23/1984 00:00:00,3187.0,3165.0,59.5,14.43,9.41,0.72,0.86,0.0,0.09,0.0,0.33,1.02,0.86,8.4,3.37,1.01
88,00/07-27-063-18W5/0,11/6/1999 00:00:00,1471.0,1465.0,89.08,4.85,2.56,0.18,0.21,0.45,,,0.04,0.42,0.25,1.01,0.74,0.21
89,00/07-27-063-18W5/0,12/14/1999 00:00:00,1471.0,1465.0,88.96,4.73,2.51,0.22,0.28,0.46,,,0.04,0.42,0.26,1.15,0.74,0.23
90,00/07-27-063-18W5/0,2/21/2007 00:00:00,1471.0,1465.0,87.84,5.29,2.81,0.26,0.3,0.92,0.0,0.0,0.08,0.45,0.27,0.75,0.79,0.24
91,00/07-27-063-18W5/0,2/24/2009 00:00:00,1471.0,1465.0,87.57,5.47,2.89,0.21,0.23,0.74,0.0,0.0,0.1,0.46,0.28,1.01,0.8,0.24
92,00/07-27-063-18W5/0,1/12/2006 00:00:00,1471.0,1465.0,86.9,5.35,2.74,0.21,0.28,0.71,0.04,0.0,0.04,0.43,0.26,2.04,0.77,0.23
93,00/07-27-063-18W5/0,2/21/2007 00:00:00,1471.0,1465.0,87.34,5.47,2.87,0.25,0.29,0.71,0.05,0.0,0.03,0.43,0.25,1.31,0.78,0.22
94,00/16-15-063-19W5/0,2/26/2004 00:00:00,3066.0,3047.0,74.98,13.24,5.67,0.1,0.1,2.21,0.01,0.01,0.08,0.48,0.18,1.63,1.12,0.19
95,00/03-22-066-03W6/0,9/9/1983 00:00:00,2339.0,2260.0,84.34,8.59,3.67,0.17,0.18,0.0,0.03,0.0,0.02,0.52,0.25,0.94,1.04,0.25
96,00/03-22-066-03W6/0,9/9/1983 00:00:00,2339.0,2260.0,82.72,8.59,3.77,0.45,0.45,0.04,0.08,0.0,0.02,0.55,0.35,1.45,1.15,0.38
97,00/03-22-066-03W6/0,9/22/1983 00:00:00,2396.0,2381.0,77.68,11.15,5.26,0.12,0.07,0.0,0.16,0.0,0.01,0.5,0.2,3.33,1.26,0.26
98,00/08-30-052-05W5/0,11/13/2003 00:00:00,1631.0,1617.0,86.12,7.27,2.61,0.3,0.16,1.27,,,0.02,0.35,0.16,0.97,0.61,0.16
99,00/08-30-052-05W5/0,8/29/1984 00:00:00,1624.0,1614.0,83.22,7.21,2.81,0.13,0.04,0.74,0.0,0.0,0.0,0.43,0.23,4.15,0.81,0.23
100,00/08-30-052-05W5/0,9/21/1984 00:00:00,1578.0,1574.0,94.77,2.57,0.17,0.0,0.0,1.66,0.0,0.0,0.03,0.25,0.01,0.53,0.01,0.0
101,00/08-30-052-05W5/0,5/13/1999 00:00:00,1629.0,1617.0,81.81,10.19,4.03,0.11,0.05,1.1,0.01,,0.03,0.49,0.18,0.93,0.89,0.18
102,00/12-35-063-18W5/0,3/8/2001 00:00:00,1522.0,1513.0,87.8,4.82,2.31,0.15,0.21,2.3,,,0.05,0.59,0.2,1.01,0.46,0.1
103,00/12-35-063-18W5/0,2/3/2006 00:00:00,2269.0,2266.0,88.08,4.42,3.29,0.17,0.12,1.57,0.0,0.01,0.02,0.44,0.19,0.56,0.88,0.25
104,00/12-35-063-18W5/0,2/13/2002 00:00:00,1522.0,1513.0,89.9,4.82,2.32,0.12,0.11,0.43,0.01,,0.05,0.57,0.21,0.89,0.47,0.1
105,00/07-13-065-26W5/0,2/5/1981 00:00:00,2212.0,2188.0,80.46,6.08,2.92,0.28,0.75,0.05,0.0,0.0,0.01,0.43,0.24,7.65,0.85,0.28
106,00/07-13-065-26W5/0,2/4/1982 00:00:00,2371.0,2359.0,76.99,3.38,3.14,1.4,1.54,4.17,0.0,0.0,0.16,0.81,1.17,3.17,2.72,1.35
107,00/03-32-063-22W5/0,1/25/1988 00:00:00,1970.0,1967.0,82.46,7.64,4.71,0.2,0.48,1.48,,,0.02,0.61,0.25,0.67,1.22,0.26
108,00/03-32-063-22W5/0,1/25/1988 00:00:00,1970.0,1967.0,82.87,7.66,4.7,0.17,0.14,1.49,0.0,0.0,0.02,0.6,0.24,0.67,1.19,0.25
109,00/03-32-063-22W5/0,8/26/1985 00:00:00,3428.0,3417.0,70.48,9.27,2.57,0.03,0.0,0.06,0.06,0.0,1.26,0.27,0.09,15.36,0.47,0.08
110,00/04-35-069-19W5/0,1/27/1982 00:00:00,2752.8,2749.8,51.84,14.16,12.35,0.8,0.34,7.14,0.0,0.0,0.07,1.44,1.37,4.7,4.21,1.58
111,00/06-21-064-25W5/0,8/14/1990 00:00:00,2088.0,2076.0,86.22,6.41,3.6,0.24,0.13,0.11,0.17,0.0,0.02,0.61,0.29,0.89,1.01,0.3
112,00/06-06-037-20W4/0,12/7/1960 00:00:00,1629.8,1628.5,47.33,12.26,13.26,0.49,,11.1,,2.9,,1.39,0.59,6.93,3.32,0.43
113,00/13-20-065-02W6/0,7/30/1996 00:00:00,4006.0,3879.0,34.0,1.6,0.17,,,2.57,0.18,0.06,0.16,0.01,,61.24,0.01,
114,00/13-20-065-02W6/0,7/30/1996 00:00:00,4006.0,3879.0,56.96,1.77,0.25,0.04,0.2,0.07,2.11,0.0,0.91,0.02,0.01,37.61,0.04,0.01
115,00/14-10-066-01W6/0,9/6/1980 00:00:00,2524.0,2512.0,94.64,3.35,1.04,0.01,0.01,0.0,0.15,0.0,0.03,0.11,0.03,0.43,0.18,0.02
116,00/05-36-061-18W5/0,2/26/1983 00:00:00,3070.0,3034.0,72.4,12.09,5.42,0.29,0.29,3.97,0.04,0.0,0.04,0.93,0.45,1.26,2.35,0.47
117,00/05-36-061-18W5/0,3/5/1983 00:00:00,3066.0,3056.0,76.3,8.73,2.4,0.1,0.11,3.78,0.9,3.81,0.1,0.31,0.16,2.48,0.67,0.15
118,00/05-36-061-18W5/0,3/2/1983 00:00:00,3066.0,3056.0,75.13,12.2,4.22,0.12,0.13,2.01,0.93,1.27,0.09,0.5,0.21,2.07,0.94,0.18
119,00/09-33-055-12W5/0,3/24/1985 00:00:00,1924.0,1904.5,85.53,8.23,2.97,0.1,0.07,1.65,0.0,0.0,0.0,0.45,0.19,0.0,0.65,0.16
120,00/09-33-055-12W5/0,1/4/2004 00:00:00,1892.0,1890.0,83.38,8.07,3.48,0.2,0.2,1.86,0.01,,0.01,0.64,0.3,0.56,1.0,0.29
121,00/11-27-049-08W5/0,6/15/1980 00:00:00,1764.0,1757.0,87.17,7.37,1.63,0.06,0.02,0.0,0.01,0.0,0.02,0.28,0.14,2.69,0.49,0.12
122,00/11-27-049-08W5/0,4/11/1980 00:00:00,2045.0,2006.0,85.33,7.95,1.2,0.02,0.01,2.58,0.12,0.27,0.01,0.15,0.06,1.97,0.27,0.06
123,00/09-34-053-14W5/0,4/10/2006 00:00:00,1920.6,1916.0,82.61,8.49,4.12,0.14,0.18,1.62,0.01,0.0,0.02,0.54,0.27,0.65,1.09,0.26
124,00/13-21-065-24W5/0,3/8/1982 00:00:00,2282.0,2275.0,93.79,2.4,0.97,0.09,0.05,0.37,0.03,0.0,0.0,0.27,0.14,1.42,0.37,0.1
125,00/16-11-030-25W4/0,11/17/1988 00:00:00,1705.0,1697.0,0.0,82.49,6.84,0.3,0.35,0.36,0.0,0.0,0.0,2.71,0.89,5.22,0.53,0.31
126,00/16-11-030-25W4/0,11/15/1988 00:00:00,1705.0,1697.0,78.5,6.8,2.71,0.24,0.16,1.25,0.0,0.0,0.03,0.5,0.29,8.36,0.86,0.3
127,00/16-11-030-25W4/0,11/17/1988 00:00:00,1705.0,1697.0,89.23,6.27,1.82,0.04,0.01,0.59,0.02,0.0,0.03,0.28,0.09,1.16,0.38,0.08
128,00/16-11-030-25W4/0,11/14/1988 00:00:00,2547.0,2535.0,55.32,6.95,2.38,0.08,0.11,0.11,3.48,0.0,0.67,0.26,0.07,30.1,0.41,0.06
129,00/16-11-030-25W4/0,11/14/1988 00:00:00,2547.0,2535.0,56.98,8.12,3.36,0.04,0.04,0.03,5.78,0.0,0.7,0.38,0.07,23.95,0.51,0.04
130,00/10-30-032-23W4/0,9/21/1988 00:00:00,1811.5,1794.0,83.9,10.16,1.38,0.09,0.07,0.0,0.01,0.0,0.1,0.18,0.22,2.61,1.02,0.26
131,00/10-30-032-23W4/0,9/20/1988 00:00:00,2403.0,2378.0,77.96,6.35,0.89,0.0,0.0,0.02,2.61,0.0,0.43,0.05,0.02,11.55,0.1,0.02
132,00/15-01-063-18W5/0,2/15/1985 00:00:00,1855.0,1847.0,90.12,5.32,1.32,0.13,0.4,0.19,0.0,0.0,0.0,0.21,0.09,1.91,0.23,0.08
133,00/15-01-063-18W5/0,2/13/1985 00:00:00,3059.0,3039.0,75.42,9.83,3.29,0.08,0.11,0.01,0.0,0.0,0.0,0.32,0.14,9.93,0.72,0.15
134,00/16-36-029-23W4/0,9/10/1989 00:00:00,2185.0,2175.0,65.22,13.68,7.79,0.37,0.33,0.22,0.09,0.0,0.21,0.8,0.38,8.15,2.17,0.59
135,00/16-36-029-23W4/0,9/10/1989 00:00:00,2185.0,2175.0,62.04,14.6,9.17,0.51,0.34,1.25,0.71,0.0,0.23,1.07,0.66,5.07,3.27,1.08
136,00/07-34-053-15W5/0,3/22/1988 00:00:00,2337.0,2318.0,90.9,4.11,1.08,0.09,0.09,2.11,0.07,0.41,0.01,0.21,0.13,0.27,0.39,0.13
137,00/14-15-036-21W4/0,5/24/1988 00:00:00,1308.7,1306.9,85.58,6.06,4.79,0.15,0.1,0.37,,,,0.69,0.24,0.81,0.98,0.23
138,00/07-01-048-10W5/0,3/6/2000 00:00:00,2265.0,2249.0,83.25,8.48,3.32,0.27,0.42,1.88,,,0.01,0.63,0.32,0.27,0.88,0.27
139,00/07-01-048-10W5/0,5/18/2001 00:00:00,2265.0,2249.0,83.3,8.45,3.39,0.27,0.39,1.87,,,0.01,0.64,0.29,0.32,0.83,0.24
140,00/07-01-048-10W5/0,7/21/2010 00:00:00,2265.0,2249.0,83.0,8.62,3.48,0.36,0.41,1.82,0.0,0.0,0.01,0.62,0.3,0.27,0.86,0.25
141,00/07-01-048-10W5/0,5/15/2006 00:00:00,2265.0,2249.0,82.74,8.57,3.51,0.39,0.37,1.85,0.0,0.0,0.01,0.65,0.35,0.3,0.95,0.31
142,00/07-01-048-10W5/0,3/9/1981 00:00:00,2265.0,2249.0,81.82,7.9,2.95,0.13,0.06,1.78,0.0,0.0,0.02,0.55,0.26,3.61,0.72,0.2
143,00/07-01-048-10W5/0,3/9/1981 00:00:00,2265.0,2249.0,43.87,15.38,11.18,1.18,2.17,3.53,0.01,0.0,0.0,2.61,1.5,13.57,3.74,1.26
144,00/09-17-034-25W4/0,5/17/1985 00:00:00,1733.7,1702.0,83.34,8.16,3.43,0.18,0.49,1.09,,,,1.63,0.26,0.2,0.96,0.26
145,00/09-17-034-25W4/0,11/30/1982 00:00:00,1730.2,1698.5,83.0,8.34,3.52,0.57,,1.17,,,,0.59,0.34,1.06,1.05,0.36
